,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM
0,서울특별시,11,종로구,11110,198200,451926,에스케이이노베이션(주)
1,서울특별시,11,강남구,11680,205529,445573,한국전력공사
2,서울특별시,11,강남구,11680,203229,444415,지에스칼텍스(주)
3,서울특별시,11,영등포구,11560,193675,447291,엘지전자(주)
4,서울특별시,11,중구,11140,198301,450781,(주)우리은행
5,서울특별시,11,중구,11140,197722,451029,삼성생명보험(주)
6,서울특별시,11,용산구,11170,196703,446840,엘지디스플레이(주)
7,서울특별시,11,중구,11140,197703,450977,(주)신한은행
8,서울특별시,11,중구,11140,198403,451374,(주)국민은행
9,서울특별시,11,종로구,11110,198376,452083,(주)한국스탠다드차타드제일은행
10,서울특별시,11,중구,11140,198746,451579,(주)중소기업은행
11,서울특별시,11,중구,11140,198343,451570,(주)하나은행
12,서울특별시,11,영등포구,11560,193675,447291,(주)엘지화학
13,서울특별시,11,중구,11140,197623,450540,(주)대우인터내셔널
14,서울특별시,11,강남구,11680,203266,444376,현대모비스(주)
15,서울특별시,11,중구,11140,198248,451382,롯데쇼핑(주)
16,서울특별시,11,중구,11140,198256,451577,삼성화재해상보험(주)
17,서울특별시,11,서초구,11650,202210,443839,삼성중공업(주)
18,서울특별시,11,서초구,11650,202237,443757,삼성물산(주)
19,서울특별시,11,중구,11140,198615,451577,에스케이텔레콤(주)
20,서울특별시,11,종로구,11110,197993,452036,교보생명보험(주)
21,서울특별시,11,중구,11140,198612,451466,(주)한국외환은행
22,서울특별시,11,영등포구,11560,194616,446392,대한생명보험(주)
23,서울특별시,11,중구,11140,198369,451790,대우조선해양(주)
24,서울특별시,11,중구,11140,198181,451809,(주)한국씨티은행
25,서울특별시,11,강서구,11500,183316,449523,(주)대한항공
26,서울특별시,11,중구,11140,198268,450962,(주)신세계
27,서울특별시,11,종로구,11110,198825,452890,현대건설(주)
28,서울특별시,11,영등포구,11560,193341,446813,(주)한진해운
29,서울특별시,11,중구,11140,197792,450172,(주)엘지유플러스
30,서울특별시,11,마포구,11440,195667,449267,(주)효성
31,서울특별시,11,종로구,11110,199977,452527,현대상선(주)
32,서울특별시,11,중구,11140,197673,450450,지에스건설(주)
33,서울특별시,11,종로구,11110,197814,452073,현대해상화재보험(주)
34,서울특별시,11,동작구,11590,193140,443179,호남석유화학(주)
35,서울특별시,11,강남구,11680,202606,444110,엘아이지손해보험(주)
