MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
경기도,41,수원시 영통구,41117,204519,417090,삼성전자(주),biz-gis.com
서울특별시,11,종로구,11110,198200,451926,에스케이이노베이션(주),biz-gis.com
서울특별시,11,강남구,11680,205529,445573,한국전력공사,biz-gis.com
서울특별시,11,강남구,11680,203229,444415,지에스칼텍스(주),biz-gis.com
경상북도,47,포항시 남구,47111,414772,280173,(주)포스코,biz-gis.com
서울특별시,11,영등포구,11560,193675,447291,엘지전자(주),biz-gis.com
서울특별시,11,중구,11140,198301,450781,(주)우리은행,biz-gis.com
서울특별시,11,중구,11140,197722,451029,삼성생명보험(주),biz-gis.com
서울특별시,11,용산구,11170,196703,446840,엘지디스플레이(주),biz-gis.com
경기도,41,수원시 장안구,41111,201556,421177,에스케이네트웍스(주),biz-gis.com
서울특별시,11,중구,11140,197703,450977,(주)신한은행,biz-gis.com
경기도,41,성남시 분당구,41135,210314,428113,한국가스공사,biz-gis.com
서울특별시,11,중구,11140,198403,451374,(주)국민은행,biz-gis.com
경기도,41,성남시 분당구,41135,210088,428525,(주)케이티,biz-gis.com
서울특별시,11,종로구,11110,198376,452083,(주)한국스탠다드차타드제일은행,biz-gis.com
서울특별시,11,중구,11140,198746,451579,(주)중소기업은행,biz-gis.com
서울특별시,11,중구,11140,198343,451570,(주)하나은행,biz-gis.com
서울특별시,11,영등포구,11560,193675,447291,(주)엘지화학,biz-gis.com
서울특별시,11,중구,11140,197623,450540,(주)대우인터내셔널,biz-gis.com
서울특별시,11,강남구,11680,203266,444376,현대모비스(주),biz-gis.com
서울특별시,11,중구,11140,198248,451382,롯데쇼핑(주),biz-gis.com
충청남도,44,서산시,44210,146658,389057,현대오일뱅크(주),biz-gis.com
서울특별시,11,중구,11140,198256,451577,삼성화재해상보험(주),biz-gis.com
서울특별시,11,서초구,11650,202210,443839,삼성중공업(주),biz-gis.com
서울특별시,11,서초구,11650,202237,443757,삼성물산(주),biz-gis.com
인천광역시,28,부평구,28237,174473,445257,한국지엠(주),biz-gis.com
서울특별시,11,중구,11140,198615,451577,에스케이텔레콤(주),biz-gis.com
서울특별시,11,종로구,11110,197993,452036,교보생명보험(주),biz-gis.com
서울특별시,11,중구,11140,198612,451466,(주)한국외환은행,biz-gis.com
서울특별시,11,영등포구,11560,194616,446392,대한생명보험(주),biz-gis.com
서울특별시,11,중구,11140,198369,451790,대우조선해양(주),biz-gis.com
서울특별시,11,중구,11140,198181,451809,(주)한국씨티은행,biz-gis.com
경기도,41,이천시,41500,243115,416791,(주)하이닉스반도체,biz-gis.com
서울특별시,11,강서구,11500,183316,449523,(주)대한항공,biz-gis.com
충청남도,44,아산시,44200,205765,368135,에스엘시디(주),biz-gis.com
서울특별시,11,중구,11140,198268,450962,(주)신세계,biz-gis.com
인천광역시,28,동구,28140,168163,442617,현대제철(주),biz-gis.com
서울특별시,11,종로구,11110,198825,452890,현대건설(주),biz-gis.com
서울특별시,11,영등포구,11560,193341,446813,(주)한진해운,biz-gis.com
서울특별시,11,중구,11140,197792,450172,(주)엘지유플러스,biz-gis.com
서울특별시,11,마포구,11440,195667,449267,(주)효성,biz-gis.com
서울특별시,11,종로구,11110,199977,452527,현대상선(주),biz-gis.com
서울특별시,11,중구,11140,197673,450450,지에스건설(주),biz-gis.com
서울특별시,11,종로구,11110,197814,452073,현대해상화재보험(주),biz-gis.com
울산광역시,31,울주군,31710,413074,217527,엘에스니꼬동제련(주),biz-gis.com
서울특별시,11,동작구,11590,193140,443179,호남석유화학(주),biz-gis.com
