MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권,배포처
경상남도,48,4831,거제시,447750,262050,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4182,가평군,343650,578250,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4182,가평군,337850,581450,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
강원도,42,4215,강릉시,485750,564250,18,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
강원도,42,4215,강릉시,491750,556950,18,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2644,강서구,482350,288950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4681,강진군,281950,233350,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4681,강진군,287250,236150,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
인천광역시,28,2871,강화군,251150,578350,10,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
인천광역시,28,2871,강화군,266550,569050,10,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
인천광역시,28,2871,강화군,259950,578550,10,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4831,거제시,455850,247150,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4831,거제시,456350,262550,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4888,거창군,401450,345650,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4888,거창군,387050,344650,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4888,거창군,393050,363450,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4888,거창군,387950,351950,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4713,경주시,512750,383450,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4713,경주시,502250,350450,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4783,고령군,431950,345550,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
강원도,42,4282,고성군,439550,648550,18,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4882,고성군,430750,276350,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
