MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
서울특별시,11,종로구,11110,308985,553398,배화여자대학 병설 배화유치원,biz-gis.com
서울특별시,11,종로구,11110,312447,552802,봄샘유치원,biz-gis.com
서울특별시,11,종로구,11110,308003,556109,상명사대부속유치원,biz-gis.com
서울특별시,11,종로구,11110,313119,553721,서울명신초등학교병설유치원,biz-gis.com
서울특별시,11,종로구,11110,313878,553102,서울숭신초등학교병설유치원,biz-gis.com
서울특별시,11,종로구,11110,310595,553546,서울재동초등학교병설유치원,biz-gis.com
서울특별시,11,종로구,11110,308305,555824,세검정유치원,biz-gis.com
서울특별시,11,종로구,11110,309210,553069,세종유치원,biz-gis.com
서울특별시,11,종로구,11110,311974,552889,연동유치원,biz-gis.com
서울특별시,11,종로구,11110,309255,553825,옥인유치원,biz-gis.com
서울특별시,11,종로구,11110,313343,553471,청룡유치원,biz-gis.com
서울특별시,11,종로구,11110,311994,554694,한아름,biz-gis.com
서울특별시,11,종로구,11110,311880,554537,혜화초등학교병설유치원,biz-gis.com
서울특별시,11,종로구,11110,309923,557381,하나유치원,biz-gis.com
서울특별시,11,종로구,11110,312150,554315,혜화유치원,biz-gis.com
서울특별시,11,중구,11140,312643,551234,근화유치원,biz-gis.com
서울특별시,11,중구,11140,309611,552300,서울덕수초등학교병설유치원,biz-gis.com
서울특별시,11,중구,11140,312010,551556,서울충무초등학교병설유치원,biz-gis.com
서울특별시,11,중구,11140,312653,550066,수암유치원,biz-gis.com
서울특별시,11,중구,11140,310725,551021,숭의여자대학부설유치원,biz-gis.com
서울특별시,11,중구,11140,313121,550736,약수유치원,biz-gis.com
서울특별시,11,중구,11140,310906,551805,영락유치원,biz-gis.com
서울특별시,11,중구,11140,309974,550985,일신유치원,biz-gis.com
서울특별시,11,중구,11140,312024,551637,테스트_감사,biz-gis.com
서울특별시,11,중구,11140,312024,551637,테스트사립유치원,biz-gis.com
서울특별시,11,중구,11140,313610,551659,한일유치원,biz-gis.com
서울특별시,11,중구,11140,308965,551246,가명유치원,biz-gis.com
서울특별시,11,중구,11140,312907,550805,신일유치원,biz-gis.com
서울특별시,11,용산구,11170,307667,548733,계성유치원,biz-gis.com
서울특별시,11,용산구,11170,309827,546993,대건유치원,biz-gis.com
서울특별시,11,용산구,11170,308096,549024,도원유치원,biz-gis.com
서울특별시,11,용산구,11170,307728,547867,서부유치원,biz-gis.com
서울특별시,11,용산구,11170,312285,548998,서울한남초등학교병설유치원,biz-gis.com
서울특별시,11,용산구,11170,311775,547855,성심유치원,biz-gis.com
서울특별시,11,용산구,11170,310830,546784,신동아큰나무유치원,biz-gis.com
서울특별시,11,용산구,11170,309782,546821,원유치원,biz-gis.com
서울특별시,11,용산구,11170,310999,549184,유성유치원,biz-gis.com
서울특별시,11,용산구,11170,307447,548603,일민유치원,biz-gis.com
서울특별시,11,용산구,11170,308500,548705,정우유치원,biz-gis.com
서울특별시,11,용산구,11170,309175,547097,충신유치원,biz-gis.com
서울특별시,11,용산구,11170,309802,546728,강변유치원,biz-gis.com
서울특별시,11,용산구,11170,309915,550458,복자유치원,biz-gis.com
서울특별시,11,용산구,11170,310139,546852,한가람유치원,biz-gis.com
서울특별시,11,성동구,11200,314213,550379,경동유치원,biz-gis.com
서울특별시,11,성동구,11200,313915,550062,금호유치원,biz-gis.com
서울특별시,11,성동구,11200,316720,548901,대일유치원,biz-gis.com
서울특별시,11,성동구,11200,315917,549011,로사유치원,biz-gis.com
서울특별시,11,성동구,11200,315616,552332,무지개유치원,biz-gis.com
서울특별시,11,성동구,11200,314558,551473,무학유치원,biz-gis.com
서울특별시,11,성동구,11200,314424,550857,벧엘유치원,biz-gis.com
