MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS,배포처
경기도,41,안양시 동안구,41173,1,306550,531950,biz-gis.com
경기도,41,부천시 오정구,41199,1,292550,548550,biz-gis.com
부산광역시,26,사하구,26380,1,488150,277650,biz-gis.com
서울특별시,11,중구,11140,4,310250,551650,biz-gis.com
경기도,41,용인시 처인구,41461,1,329550,509850,biz-gis.com
서울특별시,11,강서구,11500,1,297650,551550,biz-gis.com
부산광역시,26,사상구,26530,1,488950,283350,biz-gis.com
광주광역시,29,광산구,29200,1,290050,283350,biz-gis.com
충청북도,43,진천군,43750,1,351750,480650,biz-gis.com
서울특별시,11,용산구,11170,1,311050,547150,biz-gis.com
서울특별시,11,금천구,11545,5,301350,542550,biz-gis.com
충청남도,44,아산시,44200,1,313350,474050,biz-gis.com
서울특별시,11,강남구,11680,2,315050,545750,biz-gis.com
경기도,41,안산시 단원구,41273,1,291950,524050,biz-gis.com
대구광역시,27,달성군,27710,1,441350,348750,biz-gis.com
서울특별시,11,영등포구,11560,1,305650,547050,biz-gis.com
서울특별시,11,서대문구,11410,1,306050,552450,biz-gis.com
서울특별시,11,서초구,11650,1,312550,543750,biz-gis.com
경기도,41,안산시 단원구,41273,1,289450,525050,biz-gis.com
서울특별시,11,중구,11140,1,309550,551050,biz-gis.com
인천광역시,28,부평구,28237,1,287150,547350,biz-gis.com
서울특별시,11,중구,11140,1,309450,551150,biz-gis.com
부산광역시,26,사하구,26380,1,487650,276950,biz-gis.com
서울특별시,11,강남구,11680,1,316550,545950,biz-gis.com
울산광역시,31,북구,31200,1,524050,331650,biz-gis.com
서울특별시,11,중구,11140,3,310450,552150,biz-gis.com
경상남도,48,창원시 진해구,48129,1,465750,279150,biz-gis.com
경상북도,47,안동시,47170,1,466050,440750,biz-gis.com
서울특별시,11,동대문구,11230,1,314450,552850,biz-gis.com
전라북도,45,군산시,45130,1,298850,379650,biz-gis.com
경상북도,47,영천시,47230,1,478050,370150,biz-gis.com
경기도,41,화성시,41590,1,296750,513750,biz-gis.com
경기도,41,안산시 단원구,41273,1,291050,522650,biz-gis.com
경상남도,48,창원시 성산구,48123,1,455350,286650,biz-gis.com
경기도,41,안산시 상록구,41271,1,305250,522350,biz-gis.com
경기도,41,화성시,41590,1,301850,504450,biz-gis.com
서울특별시,11,강남구,11680,1,317450,545550,biz-gis.com
충청남도,44,천안시 동남구,44131,1,337650,459450,biz-gis.com
경상북도,47,칠곡군,47850,1,437450,373950,biz-gis.com
광주광역시,29,북구,29170,1,298550,289950,biz-gis.com
인천광역시,28,남동구,28200,1,284850,534050,biz-gis.com
경기도,41,용인시 처인구,41461,1,325550,504650,biz-gis.com
대전광역시,30,대덕구,30230,1,347150,425550,biz-gis.com
충청북도,43,청원군,43710,1,349550,456450,biz-gis.com
충청북도,43,청원군,43710,1,339950,449350,biz-gis.com
경상남도,48,양산시,48330,1,496650,307950,biz-gis.com
인천광역시,28,남동구,28200,1,286450,539350,biz-gis.com
서울특별시,11,중구,11140,4,309550,551250,biz-gis.com
서울특별시,11,강남구,11680,1,315850,543250,biz-gis.com
충청북도,43,청원군,43710,1,347750,454750,biz-gis.com
서울특별시,11,강서구,11500,2,299350,550850,biz-gis.com
인천광역시,28,연수구,28185,1,281050,531950,biz-gis.com
서울특별시,11,종로구,11110,2,311650,552950,biz-gis.com
부산광역시,26,사상구,26530,1,488850,283250,biz-gis.com
울산광역시,31,울주군,31710,1,520750,318750,biz-gis.com
서울특별시,11,영등포구,11560,1,304950,547150,biz-gis.com
서울특별시,11,강남구,11680,3,315350,544850,biz-gis.com
경상남도,48,창원시 진해구,48129,1,471750,280250,biz-gis.com
서울특별시,11,종로구,11110,3,311950,552750,biz-gis.com
경상남도,48,함안군,48730,1,444950,304950,biz-gis.com
서울특별시,11,중구,11140,3,310150,551750,biz-gis.com
서울특별시,11,강남구,11680,1,315750,544350,biz-gis.com
경기도,41,평택시,41220,1,312850,491750,biz-gis.com
충청남도,44,당진군,44830,1,277350,471050,biz-gis.com
서울특별시,11,강남구,11680,1,313650,546550,biz-gis.com
서울특별시,11,금천구,11545,1,301750,541150,biz-gis.com
서울특별시,11,금천구,11545,1,301250,542550,biz-gis.com
경상북도,47,포항시 남구,47111,1,524050,376850,biz-gis.com
서울특별시,11,영등포구,11560,4,305050,547350,biz-gis.com
서울특별시,11,강남구,11680,1,316250,545150,biz-gis.com
대구광역시,27,달서구,27290,1,446150,357850,biz-gis.com
부산광역시,26,해운대구,26350,1,502750,286750,biz-gis.com
서울특별시,11,중구,11140,1,312350,551450,biz-gis.com
경기도,41,안산시 단원구,41273,1,292250,523250,biz-gis.com
서울특별시,11,중구,11140,2,311050,551850,biz-gis.com
경기도,41,김포시,41570,1,275750,571350,biz-gis.com
경기도,41,화성시,41590,1,298050,513050,biz-gis.com
서울특별시,11,중구,11140,1,312150,551750,biz-gis.com
서울특별시,11,강남구,11680,2,315150,544850,biz-gis.com
대구광역시,27,달서구,27290,1,446950,358750,biz-gis.com
서울특별시,11,강서구,11500,1,294050,549950,biz-gis.com
서울특별시,11,영등포구,11560,1,301950,547650,biz-gis.com
인천광역시,28,서구,28260,1,284150,550850,biz-gis.com
대전광역시,30,유성구,30200,3,345150,424850,biz-gis.com
서울특별시,11,강남구,11680,2,313750,546550,biz-gis.com
