MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
강원도,42,고성군,42820,437940,653516,대진중학교,biz-gis.com
강원도,42,고성군,42820,439330,649380,거진중학교,biz-gis.com
강원도,42,고성군,42820,440435,641773,고성중학교,biz-gis.com
강원도,42,고성군,42820,447680,632500,동광중학교,biz-gis.com
강원도,42,양구군,42800,412118,631270,해안중학교,biz-gis.com
강원도,42,철원군,42780,350594,626856,김화여자중학교,biz-gis.com
강원도,42,철원군,42780,350732,626781,김화중학교,biz-gis.com
강원도,42,인제군,42810,418544,624238,서화중학교,biz-gis.com
강원도,42,철원군,42780,331144,623283,철원중학교,biz-gis.com
강원도,42,속초시,42210,451425,622820,속초여자중학교,biz-gis.com
강원도,42,속초시,42210,450837,622780,설악중학교,biz-gis.com
강원도,42,양구군,42800,394850,622496,방산중학교,biz-gis.com
강원도,42,철원군,42780,331010,622707,철원여자중학교,biz-gis.com
강원도,42,속초시,42210,450458,622602,속초중학교,biz-gis.com
강원도,42,속초시,42210,449916,621846,설악여자중학교,biz-gis.com
강원도,42,양구군,42800,403202,620032,대암중학교,biz-gis.com
강원도,42,화천군,42790,369550,617164,상서중학교,biz-gis.com
강원도,42,양양군,42830,452957,616544,강현중학교,biz-gis.com
강원도,42,철원군,42780,339130,616146,신철원중학교,biz-gis.com
강원도,42,인제군,42810,419060,613922,원통중학교,biz-gis.com
강원도,42,양구군,42800,403566,612069,용하중학교,biz-gis.com
강원도,42,양구군,42800,398563,610950,양구여자중학교,biz-gis.com
강원도,42,양구군,42800,399437,610903,양구중학교,biz-gis.com
강원도,42,화천군,42790,374421,610496,화천중학교,biz-gis.com
강원도,42,양양군,42830,454013,607904,양양여자중학교,biz-gis.com
강원도,42,인제군,42810,415555,607724,인제중학교,biz-gis.com
강원도,42,양양군,42830,454359,607838,양양중학교,biz-gis.com
강원도,42,화천군,42790,358043,606988,사내중학교,biz-gis.com
