MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
경상남도,48,김해시,48250,479587,297021,가야대학교,biz-gis.com
경기도,41,부천시 원미구,41195,294087,543564,가톨릭대학교,biz-gis.com
서울특별시,11,종로구,11110,312284,554215,가톨릭대학교,biz-gis.com
서울특별시,11,서대문구,11410,308509,552197,감리교신학대학교,biz-gis.com
충청북도,43,음성군,43770,368937,504543,강동대학,biz-gis.com
강원도,42,강릉시,42150,475654,571911,강릉영동대학,biz-gis.com
강원도,42,원주시,42130,476751,574544,강릉원주대학교,biz-gis.com
강원도,42,춘천시,42110,377708,585225,강원대학교,biz-gis.com
강원도,42,강릉시,42150,473247,586357,강원도립대학,biz-gis.com
충청북도,43,충주시,43130,391927,483079,건국대학교(충주),biz-gis.com
서울특별시,11,광진구,11215,318599,549299,건국대학교,biz-gis.com
충청남도,44,논산시,44230,320010,398331,건양대학교,biz-gis.com
대전광역시,30,서구,30170,341211,411985,건양대학교,biz-gis.com
경기도,41,수원시 영통구,41117,314748,522514,경기대학교,biz-gis.com
경상남도,48,진주시,48170,408760,286870,경남과학기술대학교,biz-gis.com
경상남도,48,거창군,48880,392350,341618,경남도립거창대학,biz-gis.com
강원도,42,고성군,42820,448825,627576,경동대학교,biz-gis.com
경상북도,47,칠곡군,47850,431431,375872,경북과학대학,biz-gis.com
경상북도,47,상주시,47250,413239,419688,경북대학교,biz-gis.com
경상북도,47,영주시,47210,454965,467250,경북전문대학,biz-gis.com
경상남도,48,진주시,48170,409335,283635,경상대학교,biz-gis.com
경상북도,47,구미시,47190,442272,396578,경운대학교,biz-gis.com
경기도,41,안양시 만안구,41171,304374,537346,경인교육대학교,biz-gis.com
경상북도,47,경주시,47130,505204,359534,경주대학교,biz-gis.com
서울특별시,11,동대문구,11230,316592,555316,경희대학교,biz-gis.com
대구광역시,27,달서구,27290,444409,362295,계명문화대학,biz-gis.com
전라남도,46,나주시,46170,276894,268492,고구려대학,biz-gis.com
충청남도,44,연기군,44730,336547,445759,고려대학교(세종),biz-gis.com
부산광역시,26,영도구,26200,497108,276094,고신대학교,biz-gis.com
충청남도,44,공주시,44150,323189,430195,공주대학교,biz-gis.com
광주광역시,29,북구,29170,298723,291356,광신대학교,biz-gis.com
전라남도,46,광양시,46230,360681,261844,광양보건대학,biz-gis.com
광주광역시,29,북구,29170,294743,292716,광주과학기술원,biz-gis.com
광주광역시,29,남구,29155,299506,279249,광주대학교,biz-gis.com
경상북도,47,구미시,47190,426168,394493,구미1대학,biz-gis.com
경기도,41,평택시,41220,318527,496346,국제대학,biz-gis.com
전라북도,45,군산시,45130,288366,375237,군산간호대학,biz-gis.com
서울특별시,11,강서구,11500,298959,550212,그리스도대학교,biz-gis.com
경상북도,47,구미시,47190,435535,393956,금오공과대학교,biz-gis.com
광주광역시,29,남구,29155,301429,282710,기독간호대학,biz-gis.com
경상북도,47,김천시,47150,407362,393120,김천대학교,biz-gis.com
경상남도,48,김해시,48250,483276,295327,김해대학,biz-gis.com
충청남도,44,천안시 서북구,44133,321627,466466,나사렛대학교,biz-gis.com
충청남도,44,천안시 서북구,44133,323819,478948,남서울대학교,biz-gis.com
충청남도,44,천안시 동남구,44131,326049,471003,단국대학교(천안),biz-gis.com
경기도,41,용인시 수지구,41465,322942,524724,단국대학교,biz-gis.com
경상북도,47,경산시,47290,473104,368320,대구가톨릭대학교,biz-gis.com
대구광역시,27,달성군,27710,441512,345056,대구경북과학기술원,biz-gis.com
대구광역시,27,북구,27230,449209,370071,대구과학대학,biz-gis.com
대구광역시,27,남구,27200,453386,361471,대구교육대학교,biz-gis.com
대구광역시,27,북구,27230,449236,369852,대구보건대학,biz-gis.com
대구광역시,27,수성구,27260,458687,361710,대구산업정보대학,biz-gis.com
대구광역시,27,수성구,27260,455128,359878,대구한의대학교,biz-gis.com
부산광역시,26,금정구,26410,499931,292791,대동대학,biz-gis.com
경상북도,47,경산시,47290,467485,356263,대신대학교,biz-gis.com
충청남도,44,연기군,44730,328318,450761,대전가톨릭대학교,biz-gis.com
대전광역시,30,대덕구,30230,348453,416807,대전신학대학교,biz-gis.com
광주광역시,29,북구,29170,302180,286191,동강대학,biz-gis.com
경상북도,47,경주시,47130,508060,363389,동국대학교(경주),biz-gis.com
서울특별시,11,성북구,11290,315595,556424,동덕여자대학교,biz-gis.com
부산광역시,26,사상구,26530,492264,283285,동서대학교,biz-gis.com
부산광역시,26,사하구,26380,488329,280089,동아대학교,biz-gis.com
경기도,41,안성시,41550,343235,495492,동아방송예술대학,biz-gis.com
서울특별시,11,구로구,11530,300065,544873,동양미래대학,biz-gis.com
