,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O
0,서울특별시,11,동작구,11590,307050,544550,214.18,446.33,109.34,50.29,95.34,65.09,62.81,63.46
1,서울특별시,11,동작구,11590,309850,543750,371.31,446.21,75.99,85.91,78.27,70.74,72.35,62.95
2,서울특별시,11,동작구,11590,308350,545350,144.8,128.32,17.52,29.28,16.37,21.75,19.6,23.8
3,서울특별시,11,동작구,11590,305550,544150,189.76,374.03,69.4,53.73,78.98,53.09,60.78,58.05
4,서울특별시,11,동작구,11590,306450,544850,394.79,452.06,75.69,70.77,92.5,68.39,72.52,72.19
5,서울특별시,11,동작구,11590,309350,542750,158.75,213.1,39.86,31.07,41.05,29.63,34.65,36.84
6,서울특별시,11,동작구,11590,306950,544250,182.0,400.33,102.28,45.97,84.8,72.7,45.26,49.32
7,서울특별시,11,동작구,11590,309850,542950,151.35,126.31,11.12,31.88,25.02,18.66,17.88,21.75
8,서울특별시,11,동작구,11590,306650,544550,253.2,607.95,132.5,74.45,126.58,102.49,67.89,104.04
9,서울특별시,11,동작구,11590,309150,545250,198.45,425.13,77.03,56.24,88.45,59.68,58.12,85.61
10,서울특별시,11,동작구,11590,305950,544350,196.59,558.13,117.02,69.17,102.1,90.88,79.39,99.57
11,서울특별시,11,동작구,11590,307550,545550,169.98,613.35,128.24,89.35,123.08,84.24,79.08,109.36
12,서울특별시,11,동작구,11590,306950,544750,150.0,485.11,117.44,46.51,86.66,67.42,71.36,95.72
13,서울특별시,11,동작구,11590,307150,544250,51.24,74.9,12.6,10.22,11.9,12.6,12.88,14.7
14,서울특별시,11,동작구,11590,309550,543150,101.28,96.51,16.92,14.58,20.31,14.1,14.7,15.9
15,서울특별시,11,동작구,11590,309250,542150,199.93,694.45,103.04,117.08,131.16,105.02,135.8,102.35
16,서울특별시,11,동작구,11590,308750,545550,76.14,271.6,67.28,25.16,49.41,50.83,33.4,45.52
17,서울특별시,11,중랑구,11260,319750,554650,389.91,349.03,69.82,60.48,57.35,58.69,55.72,46.97
18,서울특별시,11,중랑구,11260,319050,552750,214.12,241.29,54.88,34.38,48.56,45.85,29.37,28.25
19,서울특별시,11,중랑구,11260,318650,554050,204.11,491.58,99.37,72.25,92.28,91.01,64.47,72.2
20,서울특별시,11,중랑구,11260,318950,553850,48.84,130.51,26.68,18.86,22.59,22.09,18.4,21.89
21,서울특별시,11,중랑구,11260,319550,554850,26.45,48.65,6.55,7.22,9.21,8.65,8.64,8.38
22,서울특별시,11,중랑구,11260,320950,556950,11.69,42.45,6.87,5.39,5.04,7.13,7.13,10.89
23,서울특별시,11,중랑구,11260,320550,556350,102.26,402.51,95.84,47.23,71.86,73.74,56.31,57.53
24,서울특별시,11,중구,11140,310150,550950,72.73,151.0,30.58,19.83,23.82,26.3,24.45,26.02
25,서울특별시,11,중구,11140,311250,550850,24.65,48.9,9.11,7.11,6.7,7.84,9.13,9.01
26,서울특별시,11,중구,11140,311450,550950,40.34,92.29,13.28,12.64,11.16,17.45,15.32,22.44
27,서울특별시,11,중랑구,11260,320950,555950,223.46,228.89,48.05,32.15,32.89,43.62,38.82,33.36
28,서울특별시,11,중랑구,11260,320850,555750,86.1,80.1,15.75,11.7,10.5,14.85,13.05,14.25
29,서울특별시,11,중랑구,11260,320950,555350,147.04,535.42,113.37,79.38,101.82,81.87,86.75,72.23
30,서울특별시,11,중구,11140,311250,551350,4.44,7.84,1.02,0.84,1.22,1.48,1.54,1.74
31,서울특별시,11,중구,11140,311450,551850,17.76,33.65,5.1,4.24,4.46,5.57,6.44,7.84
32,서울특별시,11,중구,11140,313750,551750,139.23,261.04,43.01,37.68,43.33,44.58,38.48,53.96
33,서울특별시,11,중구,11140,312950,551750,252.46,467.39,91.7,56.08,99.97,85.12,62.77,71.75
34,서울특별시,11,중구,11140,313450,551650,55.57,109.11,24.03,13.04,21.85,22.15,10.87,17.17
35,서울특별시,11,중구,11140,312550,549950,120.0,272.0,61.96,27.1,72.7,39.58,41.21,29.45
36,서울특별시,11,중랑구,11260,318750,556250,99.0,447.92,86.21,79.67,72.3,74.57,71.93,63.24
37,서울특별시,11,관악구,11620,306250,541650,286.31,379.68,52.06,102.65,77.23,46.4,43.63,57.71
38,서울특별시,11,관악구,11620,308350,542050,218.6,588.26,98.43,134.64,122.85,79.64,61.14,91.56
39,서울특별시,11,관악구,11620,306450,543350,335.42,474.8,104.2,50.55,93.42,75.08,63.17,88.38
40,서울특별시,11,관악구,11620,306250,541150,313.63,177.69,18.2,60.07,36.22,17.88,16.69,28.63
41,서울특별시,11,관악구,11620,306050,541950,86.95,159.63,29.16,26.36,34.91,22.62,21.46,25.12
