,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
0,서울특별시,11,서초구,11650,310450,543950,311.95,266.77,7
1,서울특별시,11,송파구,11710,320250,545150,226.34,585.59,6
2,서울특별시,11,영등포구,11560,305650,547750,96.0,329.18,10
3,서울특별시,11,강남구,11680,314250,545950,247.09,192.12,7
4,서울특별시,11,강남구,11680,317950,543450,120.0,355.03,8
5,서울특별시,11,영등포구,11560,303650,544050,9.12,15.99,6
6,서울특별시,11,서초구,11650,311150,543550,57.58,53.95,7
7,서울특별시,11,강남구,11680,313750,547050,173.28,164.02,7
8,서울특별시,11,양천구,11470,298850,547650,202.95,375.15,4
9,서울특별시,11,강남구,11680,314650,544850,107.59,151.23,7
10,서울특별시,11,서초구,11650,311450,543250,190.28,217.42,6
11,서울특별시,11,강남구,11680,315150,545850,129.38,275.58,7
12,서울특별시,11,강남구,11680,319150,544050,4.18,5.31,7
13,서울특별시,11,서초구,11650,315450,542650,143.58,383.89,5
14,서울특별시,11,송파구,11710,320150,544650,188.83,563.43,5
15,서울특별시,11,강남구,11680,319250,543750,83.62,103.22,6
16,서울특별시,11,동작구,11590,306350,545950,581.37,383.33,3
17,서울특별시,11,영등포구,11560,302950,543650,146.03,128.54,3
18,서울특별시,11,송파구,11710,322650,543150,184.35,352.86,5
19,서울특별시,11,서초구,11650,310450,542550,141.22,273.39,6
20,서울특별시,11,금천구,11545,303650,539050,357.27,266.69,3
21,서울특별시,11,송파구,11710,323550,544950,61.26,137.05,6
22,서울특별시,11,송파구,11710,322950,543250,200.61,479.39,6
23,서울특별시,11,관악구,11620,304350,543350,262.32,387.04,4
24,서울특별시,11,강동구,11740,323750,550450,457.96,310.43,4
25,서울특별시,11,강서구,11500,297750,550750,158.36,455.15,4
26,서울특별시,11,송파구,11710,320750,544650,169.5,378.56,5
27,서울특별시,11,양천구,11470,300050,549150,153.16,391.74,5
28,서울특별시,11,관악구,11620,304650,542750,209.39,256.41,4
29,서울특별시,11,동작구,11590,305750,545450,43.62,101.11,4
30,서울특별시,11,송파구,11710,319450,544850,98.94,124.2,5
31,서울특별시,11,양천구,11470,299850,548850,160.9,378.64,4
32,서울특별시,11,송파구,11710,321850,548150,58.54,65.63,5
33,서울특별시,11,관악구,11620,305650,542950,152.71,142.34,4
34,서울특별시,11,서초구,11650,313350,545950,106.37,123.03,6
35,서울특별시,11,관악구,11620,302950,542650,113.39,116.11,4
36,서울특별시,11,영등포구,11560,303450,548450,213.68,268.25,4
37,서울특별시,11,영등포구,11560,302650,547250,144.89,211.17,3
38,서울특별시,11,양천구,11470,298550,546950,228.28,402.22,4
39,서울특별시,11,동작구,11590,306150,544550,233.67,497.12,4
40,서울특별시,11,양천구,11470,299050,547650,202.93,619.02,4
41,서울특별시,11,강서구,11500,298650,548750,155.13,397.43,4
42,서울특별시,11,양천구,11470,299450,547650,52.36,73.71,5
43,서울특별시,11,구로구,11530,298150,544950,80.32,131.56,4
44,서울특별시,11,금천구,11545,303350,541650,274.16,392.58,4
45,서울특별시,11,강동구,11740,322750,548550,431.04,213.44,4
46,서울특별시,11,강서구,11500,298150,549750,165.88,451.78,4
47,서울특별시,11,양천구,11470,298950,546950,289.3,278.11,3
48,서울특별시,11,금천구,11545,303650,538850,212.05,355.82,2
49,서울특별시,11,양천구,11470,296450,548850,183.11,597.5,3
50,서울특별시,11,금천구,11545,303350,542250,323.78,354.11,3
51,서울특별시,11,구로구,11530,301350,544150,203.82,182.87,2
52,서울특별시,11,동작구,11590,309550,542750,251.64,247.21,3
53,서울특별시,11,강동구,11740,322950,548150,425.74,1027.81,4
54,서울특별시,11,양천구,11470,298850,546850,29.7,31.98,4
55,서울특별시,11,양천구,11470,297350,547850,172.88,358.36,3
56,서울특별시,11,강서구,11500,295550,552650,145.02,296.64,4
57,서울특별시,11,구로구,11530,299250,543550,74.9,150.77,4
58,서울특별시,11,영등포구,11560,304050,544850,271.14,431.96,3
59,서울특별시,11,구로구,11530,301750,544350,222.79,468.15,3
60,서울특별시,11,강서구,11500,297750,548650,239.91,488.43,4
61,서울특별시,11,강서구,11500,299750,550850,49.1,122.75,5
62,서울특별시,11,영등포구,11560,304650,545950,219.46,294.32,3
63,서울특별시,11,관악구,11620,304850,541050,91.44,176.76,3
64,서울특별시,11,강서구,11500,297850,550050,320.0,995.95,4
65,서울특별시,11,동작구,11590,307150,545950,158.85,338.51,4
66,서울특별시,11,구로구,11530,301050,545750,152.91,228.32,3
67,서울특별시,11,동작구,11590,308050,544150,151.45,109.33,3
