,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
0,서울특별시,11,중구,11140,4,310250,551650
1,서울특별시,11,강서구,11500,1,297650,551550
2,서울특별시,11,용산구,11170,1,311050,547150
3,서울특별시,11,금천구,11545,5,301350,542550
4,서울특별시,11,강남구,11680,2,315050,545750
5,서울특별시,11,영등포구,11560,1,305650,547050
6,서울특별시,11,서대문구,11410,1,306050,552450
7,서울특별시,11,서초구,11650,1,312550,543750
8,서울특별시,11,중구,11140,1,309550,551050
9,서울특별시,11,중구,11140,1,309450,551150
10,서울특별시,11,강남구,11680,1,316550,545950
11,서울특별시,11,중구,11140,3,310450,552150
12,서울특별시,11,동대문구,11230,1,314450,552850
13,서울특별시,11,강남구,11680,1,317450,545550
14,서울특별시,11,중구,11140,4,309550,551250
15,서울특별시,11,강남구,11680,1,315850,543250
16,서울특별시,11,강서구,11500,2,299350,550850
17,서울특별시,11,종로구,11110,2,311650,552950
18,서울특별시,11,영등포구,11560,1,304950,547150
19,서울특별시,11,강남구,11680,3,315350,544850
20,서울특별시,11,종로구,11110,3,311950,552750
21,서울특별시,11,중구,11140,3,310150,551750
22,서울특별시,11,강남구,11680,1,315750,544350
23,서울특별시,11,강남구,11680,1,313650,546550
24,서울특별시,11,금천구,11545,1,301750,541150
25,서울특별시,11,금천구,11545,1,301250,542550
26,서울특별시,11,영등포구,11560,4,305050,547350
27,서울특별시,11,강남구,11680,1,316250,545150
28,서울특별시,11,중구,11140,1,312350,551450
29,서울특별시,11,중구,11140,2,311050,551850
30,서울특별시,11,중구,11140,1,312150,551750
31,서울특별시,11,강남구,11680,2,315150,544850
32,서울특별시,11,강서구,11500,1,294050,549950
33,서울특별시,11,영등포구,11560,1,301950,547650
34,서울특별시,11,강남구,11680,2,313750,546550
35,서울특별시,11,종로구,11110,1,310750,552250
36,서울특별시,11,강남구,11680,1,315050,544650
37,서울특별시,11,강남구,11680,2,315450,545650
38,서울특별시,11,서초구,11650,1,310650,542250
39,서울특별시,11,강남구,11680,1,316850,545450
40,서울특별시,11,용산구,11170,1,308550,547350
41,서울특별시,11,중구,11140,1,309750,550650
42,서울특별시,11,금천구,11545,3,301050,542450
43,서울특별시,11,중구,11140,2,308650,550650
44,서울특별시,11,종로구,11110,1,311750,552750
45,서울특별시,11,영등포구,11560,1,301550,547350
46,서울특별시,11,강서구,11500,1,298250,551250
47,서울특별시,11,강남구,11680,1,316250,545850
48,서울특별시,11,서초구,11650,1,312850,542550
49,서울특별시,11,구로구,11530,2,302750,543150
50,서울특별시,11,영등포구,11560,1,302950,548550
51,서울특별시,11,강남구,11680,1,316450,547450
52,서울특별시,11,송파구,11710,1,322850,543050
53,서울특별시,11,서초구,11650,1,313550,544950
54,서울특별시,11,강남구,11680,1,316250,543350
55,서울특별시,11,양천구,11470,1,300450,548050
56,서울특별시,11,종로구,11110,1,310150,552850
57,서울특별시,11,강남구,11680,1,315450,545350
58,서울특별시,11,영등포구,11560,1,302650,544750
59,서울특별시,11,강남구,11680,1,315650,547350
60,서울특별시,11,서초구,11650,1,315350,542350
61,서울특별시,11,중구,11140,1,310350,552050
62,서울특별시,11,강남구,11680,1,317350,545950
63,서울특별시,11,송파구,11710,1,321850,546450
64,서울특별시,11,구로구,11530,1,301550,545350
65,서울특별시,11,중구,11140,2,310650,552150
66,서울특별시,11,강남구,11680,1,314350,544150
67,서울특별시,11,강남구,11680,1,314350,547950
68,서울특별시,11,영등포구,11560,1,302750,548550
69,서울특별시,11,송파구,11710,1,322750,542850
70,서울특별시,11,중구,11140,1,309850,551550
71,서울특별시,11,금천구,11545,1,301250,541850
72,서울특별시,11,마포구,11440,1,304250,550950
73,서울특별시,11,중구,11140,1,310850,551650
74,서울특별시,11,영등포구,11560,2,304850,547850
75,서울특별시,11,중구,11140,1,310350,552250
76,서울특별시,11,강남구,11680,1,314850,544550
77,서울특별시,11,구로구,11530,3,302550,542650
78,서울특별시,11,강남구,11680,1,315750,543150
79,서울특별시,11,금천구,11545,1,301650,541350
80,서울특별시,11,영등포구,11560,2,305550,547050
81,서울특별시,11,금천구,11545,1,301550,541850
