,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
0,서울특별시,11,강남구,11680,318250,542550,290000.0,305000.0,310000.0
1,서울특별시,11,강남구,11680,317750,543350,8800000.0,9225000.0,9225000.0
2,서울특별시,11,강남구,11680,316150,541750,4600000.0,4825000.0,4825000.0
3,서울특별시,11,강남구,11680,316050,541850,5100000.0,5375000.0,5375000.0
4,서울특별시,11,강남구,11680,316150,541950,4400000.0,4600000.0,4600000.0
5,서울특별시,11,강남구,11680,316250,542150,2800000.0,2950000.0,2950000.0
6,서울특별시,11,강남구,11680,316050,542150,5200000.0,5460000.0,5460000.0
7,서울특별시,11,강남구,11680,318550,542950,106000.0,111000.0,111000.0
8,서울특별시,11,강남구,11680,317450,541950,340000.0,360000.0,360000.0
9,서울특별시,11,강남구,11680,313750,546450,6390000.0,6690000.0,6710000.0
10,서울특별시,11,강남구,11680,313850,546550,9350000.0,9795000.0,9755000.0
11,서울특별시,11,강남구,11680,314250,546650,4250000.0,4450000.0,4465000.0
12,서울특별시,11,강남구,11680,314050,546550,4250000.0,4450000.0,4460000.0
13,서울특별시,11,강남구,11680,314050,546050,9700000.0,10200000.0,10200000.0
14,서울특별시,11,강남구,11680,314350,546150,11000000.0,11500000.0,11500000.0
15,서울특별시,11,강남구,11680,314550,546550,3610000.0,3780000.0,3790000.0
16,서울특별시,11,강남구,11680,314450,546350,7405000.0,7750000.0,7775000.0
17,서울특별시,11,강남구,11680,315350,546950,9600000.0,10100000.0,10100000.0
18,서울특별시,11,강남구,11680,315350,546750,9400000.0,9840000.0,9870000.0
19,서울특별시,11,강남구,11680,313950,545950,10800000.0,11300000.0,11300000.0
20,서울특별시,11,강남구,11680,314450,546050,5755000.0,6025000.0,6040000.0
21,서울특별시,11,강남구,11680,313850,545550,8000000.0,8380000.0,8410000.0
22,서울특별시,11,강남구,11680,314550,545650,3630000.0,3800000.0,3810000.0
23,서울특별시,11,강남구,11680,313950,545450,7750000.0,8110000.0,8130000.0
24,서울특별시,11,강남구,11680,315150,545850,3760000.0,3840000.0,3850000.0
25,서울특별시,11,강남구,11680,316550,545150,10100000.0,10600000.0,10500000.0
26,서울특별시,11,강남구,11680,316450,544850,4900000.0,5135000.0,5135000.0
27,서울특별시,11,강남구,11680,316850,544850,6300000.0,6613333.333329999,6613333.333329999
