,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM
0,서울특별시,11,노원구,11350,316791,564921,수락중학교
1,서울특별시,11,도봉구,11320,315780,564730,북서울중학교
2,서울특별시,11,노원구,11350,316724,563864,노일중학교
3,서울특별시,11,노원구,11350,317220,563674,상원중학교
4,서울특별시,11,도봉구,11320,316008,563535,도봉중학교
5,서울특별시,11,노원구,11350,316694,563109,상경중학교
6,서울특별시,11,노원구,11350,317388,563062,청원중학교
7,서울특별시,11,도봉구,11320,314767,562996,방학중학교
8,서울특별시,11,도봉구,11320,314564,562822,신방학중학교
9,서울특별시,11,도봉구,11320,316350,562687,창동중학교
10,서울특별시,11,노원구,11350,318804,562499,상계제일중학교
11,서울특별시,11,노원구,11350,319087,562444,재현중학교
12,서울특별시,11,노원구,11350,317677,562374,온곡중학교
13,서울특별시,11,강북구,11305,312853,562057,서라벌중학교
14,서울특별시,11,도봉구,11320,314286,561993,선덕중학교
15,서울특별시,11,노원구,11350,318596,561823,중계중학교
16,서울특별시,11,도봉구,11320,315156,561944,백운중학교
17,서울특별시,11,도봉구,11320,314723,561584,정의여자중학교
18,서울특별시,11,도봉구,11320,313520,561609,효문중학교
19,서울특별시,11,노원구,11350,318031,561474,상계중학교
20,서울특별시,11,노원구,11350,317572,561401,신상중학교
21,서울특별시,11,도봉구,11320,315335,561248,창북중학교
22,서울특별시,11,노원구,11350,318308,561271,을지중학교
23,서울특별시,11,도봉구,11320,314884,561207,신도봉중학교
24,서울특별시,11,노원구,11350,317224,561149,노원중학교
25,서울특별시,11,노원구,11350,317976,561165,상명중학교
26,서울특별시,11,도봉구,11320,316657,561056,노곡중학교
27,서울특별시,11,도봉구,11320,316113,561071,창일중학교
28,서울특별시,11,노원구,11350,318458,560764,불암중학교
29,서울특별시,11,강북구,11305,314226,560714,강북중학교
30,서울특별시,11,노원구,11350,317951,560584,중원중학교
31,서울특별시,11,은평구,11380,305382,560715,진관중학교
32,서울특별시,11,강북구,11305,312843,560608,인수중학교
33,서울특별시,11,노원구,11350,318259,560232,하계중학교
34,서울특별시,11,노원구,11350,317441,559809,중평중학교
35,서울특별시,11,강북구,11305,314884,559786,수송중학교
36,서울특별시,11,은평구,11380,305829,559497,신도중학교
37,서울특별시,11,강북구,11305,312834,559357,화계중학교
38,서울특별시,11,강북구,11305,315156,559311,번동중학교
39,서울특별시,11,노원구,11350,318354,559146,한천중학교
40,서울특별시,11,노원구,11350,317437,559174,녹천중학교
41,서울특별시,11,강북구,11305,312884,559224,수유중학교
42,서울특별시,11,노원구,11350,316537,559130,월계중학교
43,서울특별시,11,노원구,11350,316384,559049,염광중학교
44,서울특별시,11,강북구,11305,314283,558885,신일중학교
45,서울특별시,11,노원구,11350,316149,558863,신창중학교
