,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O
0,서울특별시,11,서대문구,11410,307050,551950,16.53,0.42854,5.69096,4.07419,3.87092,1.97369,0.39456,0.08985,0.00729
1,서울특별시,11,은평구,11380,305450,560850,10.76719,0.0,0.0,0.0,0.0,10.76719,0.0,0.0,0.0
2,서울특별시,11,노원구,11350,317950,558450,3.9658,0.0,0.0,3.9658,0.0,0.0,0.0,0.0,0.0
3,서울특별시,11,강서구,11500,291450,551050,2.65464,0.0,0.0,0.0,1.32732,0.0,1.32732,0.0,0.0
4,서울특별시,11,종로구,11110,311350,552550,191.45497,0.0,47.86375,60.91747,46.41333,27.55792,7.25208,1.45042,0.0
5,서울특별시,11,종로구,11110,311050,553050,122.13461,0.00535,21.94531,38.37796,34.27302,21.21571,2.24923,4.03801,0.03002
6,서울특별시,11,성북구,11290,315450,556450,73.46211,0.0,3.57613,21.50728,41.22644,4.47017,1.78806,0.0,0.89403
7,서울특별시,11,양천구,11470,297650,546150,235.97931,0.0,30.77991,61.55982,30.77991,61.55982,51.29985,0.0,0.0
8,서울특별시,11,서대문구,11410,307550,553650,92.50476,0.0,16.70549,12.06844,28.96163,22.6382,5.71429,6.41671,0.0
9,서울특별시,11,구로구,11530,297550,542750,5.43792,0.0,0.0,1.16527,1.94212,1.16526,1.16527,0.0,0.0
10,서울특별시,11,노원구,11350,320350,558050,0.50196,0.0,0.0,0.0,0.25098,0.25098,0.0,0.0,0.0
11,서울특별시,11,노원구,11350,319950,557850,0.25098,0.0,0.0,0.25098,0.0,0.0,0.0,0.0,0.0
12,서울특별시,11,강북구,11305,312950,562950,4.2236,0.0,0.44553,0.73473,1.12317,1.32137,0.53264,0.06616,0.0
13,서울특별시,11,동작구,11590,308950,543950,3.29102,0.0,0.0,3.29102,0.0,0.0,0.0,0.0,0.0
14,서울특별시,11,은평구,11380,307150,560550,11.13821,0.0,2.43651,3.30666,2.78452,2.0884,0.52212,0.0,0.0
15,서울특별시,11,은평구,11380,306850,560650,19.40239,0.0,3.23211,4.38641,3.69384,7.39741,0.69262,0.0,0.0
16,서울특별시,11,은평구,11380,307850,561650,4.62703,0.0,4.62703,0.0,0.0,0.0,0.0,0.0,0.0
17,서울특별시,11,은평구,11380,303450,556550,45.63621,15.21207,30.42414,0.0,0.0,0.0,0.0,0.0,0.0
18,서울특별시,11,노원구,11350,319650,562450,3.02918,0.03563,0.45141,0.70088,0.93847,0.65335,0.2257,0.02374,0.0
19,서울특별시,11,서초구,11650,310550,541850,2.35338,0.0,0.0,0.0,0.0,2.35338,0.0,0.0,0.0
20,서울특별시,11,종로구,11110,311250,552350,806.18077,0.00409,136.00143,244.91995,202.69052,132.23859,61.92633,23.38999,5.00987
21,서울특별시,11,종로구,11110,310950,552250,326.61702,0.0,89.98634,104.98405,58.32446,53.32522,18.33054,1.66641,0.0
22,서울특별시,11,종로구,11110,309750,552950,2.07127,0.0,0.0,2.07127,0.0,0.0,0.0,0.0,0.0
23,서울특별시,11,종로구,11110,309250,553050,469.16937,0.0,103.2101,129.50646,80.99055,114.83425,30.99907,9.52274,0.1062
24,서울특별시,11,종로구,11110,309150,553350,50.72761,0.0,12.59669,16.29806,13.73954,6.46385,1.02706,0.23163,0.37078
25,서울특별시,11,종로구,11110,308350,555550,22.30105,0.0,8.49536,6.05757,4.50799,1.8314,1.12697,0.28176,0.0
26,서울특별시,11,종로구,11110,308750,556350,45.39554,0.0,1.55578,16.77616,13.94234,9.55858,3.56268,0.0,0.0
27,서울특별시,11,종로구,11110,310350,554150,219.97173,0.0,81.71513,66.11682,35.35101,27.97639,7.33676,1.47562,0.0
28,서울특별시,11,종로구,11110,308850,554950,15.02904,0.00599,3.45199,3.11954,5.23349,2.69469,0.41546,0.09667,0.01121
29,서울특별시,11,종로구,11110,310750,552950,129.42328,0.00051,11.32269,15.86526,43.88697,41.66505,16.43596,0.24468,0.00216
30,서울특별시,11,종로구,11110,312250,552450,222.26965,0.01488,26.3073,44.22564,80.02081,53.10479,17.06218,1.50002,0.03403
31,서울특별시,11,종로구,11110,313150,552850,11.3474,0.0,1.09287,1.33194,3.59464,1.0075,2.36514,0.10245,1.85286
32,서울특별시,11,중구,11140,310250,551250,375.07919,0.105,69.09354,136.612,120.23116,41.05709,7.24538,0.63002,0.105
33,서울특별시,11,중구,11140,311150,551350,410.2724,0.02142,89.279,152.35582,96.70833,42.87289,25.52612,3.4489,0.05992
34,서울특별시,11,종로구,11110,313850,553250,34.47408,0.0,4.96106,9.50199,9.95301,6.66005,3.39797,0.0,0.0
35,서울특별시,11,도봉구,11320,316150,564050,189.66151,0.0,23.16512,37.32056,66.72383,54.82808,7.62392,0.0,0.0
36,서울특별시,11,도봉구,11320,315450,561050,2.94567,0.0,0.0,2.94567,0.0,0.0,0.0,0.0,0.0
37,서울특별시,11,중구,11140,313050,552350,1904.84487,6.86603,192.09151,429.71193,507.31162,512.56715,231.831,19.02733,5.4383
38,서울특별시,11,중구,11140,310950,551850,1675.98315,1.22109,306.4824,633.73713,391.61484,212.84184,107.46422,21.30804,1.31359
39,서울특별시,11,중구,11140,311050,551950,526.9789,0.0484,85.41884,199.33444,125.16421,64.60679,40.32041,11.807,0.27881
40,서울특별시,11,용산구,11170,310050,550050,9.31584,0.05322,1.11789,3.67313,1.80993,1.7567,0.74528,0.15969,0.0
41,서울특별시,11,용산구,11170,310950,547050,23.94404,0.0,2.66045,5.3209,10.64179,5.3209,0.0,0.0,0.0
42,서울특별시,11,용산구,11170,309650,550350,153.48519,0.0,49.72058,49.72056,32.42645,10.8088,4.32352,4.32352,2.16176
43,서울특별시,11,용산구,11170,309650,550450,2.16176,0.0,0.0,0.0,2.16176,0.0,0.0,0.0,0.0
44,서울특별시,11,용산구,11170,309650,550550,13.93741,0.0,0.54254,5.03243,5.57496,0.54254,2.24494,0.0,0.0
45,서울특별시,11,중구,11140,308550,551150,2.5346,0.00252,0.55192,0.93779,0.58933,0.29909,0.12232,0.02853,0.0031
46,서울특별시,11,용산구,11170,309450,550450,38.5206,0.0,1.08508,11.93595,10.85089,8.68069,5.42545,0.54254,0.0
47,서울특별시,11,용산구,11170,311050,549350,66.24369,0.0,0.0,12.24874,36.74621,12.24874,5.0,0.0,0.0
48,서울특별시,11,용산구,11170,308550,550050,40.0,0.0,0.0,8.0,24.0,8.0,0.0,0.0,0.0
49,서울특별시,11,중구,11140,311950,550650,3.09279,0.0,0.0,0.0,0.0,2.06186,1.03093,0.0,0.0
50,서울특별시,11,강북구,11305,313150,560350,48.1817,0.0,0.0,22.93284,24.47689,0.77197,0.0,0.0,0.0
51,서울특별시,11,용산구,11170,309350,548550,163.06663,0.0,16.03934,90.88959,42.77158,10.6929,2.67322,0.0,0.0
52,서울특별시,11,용산구,11170,308650,548750,385.06785,0.0,102.12563,169.32518,63.61215,28.34429,17.34112,4.31948,0.0
53,서울특별시,11,양천구,11470,299950,548750,39.97761,0.0,5.57713,6.84719,15.98212,11.57117,0.0,0.0,0.0
54,서울특별시,11,성동구,11200,313950,551450,5.28294,0.0,0.0,1.23212,2.46424,1.58658,0.0,0.0,0.0
55,서울특별시,11,용산구,11170,308950,549250,191.03633,0.0,11.64876,112.43836,33.96515,11.64876,20.35417,0.98113,0.0
56,서울특별시,11,노원구,11350,316850,561250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,서울특별시,11,성동구,11200,316450,552050,90.57713,0.0,16.52523,38.22794,21.3475,12.55074,1.32251,0.58387,0.01934
58,서울특별시,11,성동구,11200,315850,549550,21.79783,0.03169,5.98062,8.05196,4.448,2.3349,0.8239,0.12676,0.0
59,서울특별시,11,성동구,11200,316250,548750,7.27472,0.0,0.98105,3.02352,2.77963,0.32701,0.16351,0.0,0.0
60,서울특별시,11,성동구,11200,317150,550050,20.65772,0.0,6.0758,3.64548,6.0758,2.43032,0.0,2.43032,0.0
