,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM
0,서울특별시,11,도봉구,11320,315818,565334,도봉고등학교
1,서울특별시,11,도봉구,11320,316446,565171,누원고등학교
2,서울특별시,11,노원구,11350,316710,564925,수락고등학교
3,서울특별시,11,노원구,11350,317496,563079,청원여자고등학교
4,서울특별시,11,노원구,11350,317500,562999,청원고등학교
5,서울특별시,11,도봉구,11320,316122,562769,서울문화고등학교
6,서울특별시,11,노원구,11350,316665,562619,노원고등학교
7,서울특별시,11,노원구,11350,318988,562340,재현고등학교
8,서울특별시,11,도봉구,11320,316412,562282,자운고등학교
9,서울특별시,11,노원구,11350,318956,562269,미래산업과학고등학교
10,서울특별시,11,노원구,11350,317129,562229,용화여자고등학교
11,서울특별시,11,도봉구,11320,314293,561937,세그루패션디자인고등학교
12,서울특별시,11,도봉구,11320,314333,561810,선덕고등학교
13,서울특별시,11,도봉구,11320,313552,561578,효문고등학교
14,서울특별시,11,도봉구,11320,314761,561636,정의여자고등학교
15,서울특별시,11,노원구,11350,319321,561495,영신여자고등학교
16,서울특별시,11,노원구,11350,316885,561566,상계고등학교
17,서울특별시,11,노원구,11350,319237,561447,영신여자실업고등학교
18,서울특별시,11,도봉구,11320,315334,561341,창동고등학교
19,서울특별시,11,노원구,11350,317997,561231,상명고등학교
20,서울특별시,11,노원구,11350,319012,561076,불암고등학교
21,서울특별시,11,노원구,11350,317870,560837,대진여자고등학교
22,서울특별시,11,도봉구,11320,316529,560771,서울외국어고등학교
23,서울특별시,11,노원구,11350,318602,560716,서라벌고등학교
24,서울특별시,11,노원구,11350,317416,560387,서울아이티고등학교
25,서울특별시,11,노원구,11350,318456,560289,혜성여자고등학교
26,서울특별시,11,노원구,11350,321488,560195,한국삼육고등학교
27,서울특별시,11,노원구,11350,318596,559878,대진고등학교
28,서울특별시,11,은평구,11380,305686,559774,은평메디텍고등학교
29,서울특별시,11,노원구,11350,318508,559376,경기기계공업고등학교
30,서울특별시,11,노원구,11350,316881,559250,인덕공업고등학교
31,서울특별시,11,노원구,11350,316234,559244,월계고등학교
32,서울특별시,11,강북구,11305,313090,559181,혜화여자고등학교
33,서울특별시,11,노원구,11350,318510,559062,동산정보산업고등학교
34,서울특별시,11,노원구,11350,316225,559051,염광여자메디텍고등학교
35,서울특별시,11,노원구,11350,316299,558877,염광고등학교
36,서울특별시,11,강북구,11305,314409,558896,신일고등학교
37,서울특별시,11,은평구,11380,305199,558926,세명컴퓨터고등학교
38,서울특별시,11,은평구,11380,303940,558444,대성고등학교
39,서울특별시,11,노원구,11350,316869,558002,광운전자공업고등학교
40,서울특별시,11,강북구,11305,314063,558065,성암국제무역고등학교
41,서울특별시,11,은평구,11380,304155,558126,선일이비즈니스고등학교
42,서울특별시,11,은평구,11380,304272,558030,선일여자고등학교
43,서울특별시,11,중랑구,11260,319444,557807,태릉고등학교
44,서울특별시,11,은평구,11380,303851,557942,선정관광고등학교
45,서울특별시,11,은평구,11380,303867,557831,선정고등학교
46,서울특별시,11,중랑구,11260,319516,557409,원묵고등학교
47,서울특별시,11,성북구,11290,313078,557349,대일관광디자인고등학교
48,서울특별시,11,은평구,11380,305283,557430,동명여자고등학교
49,서울특별시,11,강북구,11305,314365,557288,영훈고등학교
50,서울특별시,11,성북구,11290,313119,557268,대일외국어고등학교
51,서울특별시,11,은평구,11380,305220,557369,동명여자정보산업고등학교
52,서울특별시,11,강북구,11305,315132,557234,창문여자고등학교
53,서울특별시,11,은평구,11380,304435,557048,예일여자고등학교
54,서울특별시,11,성북구,11290,317784,556775,석관고등학교
55,서울특별시,11,은평구,11380,304472,556899,예일디자인고등학교
56,서울특별시,11,성북구,11290,312036,556816,고려대학교사범대학부속고등학교
57,서울특별시,11,성북구,11290,314681,556535,서울북공업고등학교
58,서울특별시,11,중랑구,11260,321179,556436,송곡여자고등학교
