,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
0,서울특별시,11,1168,강남구,316350,546450,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.
1,서울특별시,11,1174,강동구,322950,547850,75,0,0,0,25,0,0,0,25,0,0,GIS United INC.
2,서울특별시,11,1154,금천구,303050,539450,125,0,0,0,0,0,0,0,75,25,0,GIS United INC.
3,서울특별시,11,1138,은평구,305650,556150,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.
4,서울특별시,11,1114,중구,313150,551850,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.
5,서울특별시,11,1141,서대문구,305450,552050,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
6,서울특별시,11,1111,종로구,313250,552750,225,0,0,0,75,0,0,25,50,75,0,GIS United INC.
7,서울특별시,11,1132,도봉구,313150,562050,50,0,0,0,0,0,0,25,0,25,0,GIS United INC.
8,서울특별시,11,1156,영등포구,302550,549350,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
9,서울특별시,11,1135,노원구,317250,561850,175,0,0,0,50,0,0,25,75,25,0,GIS United INC.
10,서울특별시,11,1153,구로구,297350,544150,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
11,서울특별시,11,1171,송파구,321850,545650,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
12,서울특별시,11,1150,강서구,299050,551450,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
13,서울특별시,11,1156,영등포구,302350,546150,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
14,서울특별시,11,1168,강남구,316450,541650,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
15,서울특별시,11,1130,강북구,314050,559350,50,0,0,0,0,0,0,25,0,25,0,GIS United INC.
16,서울특별시,11,1130,강북구,312550,560050,25,0,0,0,0,0,0,25,0,0,0,GIS United INC.
17,서울특별시,11,1154,금천구,302750,542150,125,0,0,0,0,0,0,0,100,25,0,GIS United INC.
18,서울특별시,11,1165,서초구,311350,543050,100,0,0,0,0,0,0,0,50,50,0,GIS United INC.
19,서울특별시,11,1135,노원구,317350,561650,300,0,0,0,50,0,0,0,150,100,0,GIS United INC.
20,서울특별시,11,1168,강남구,313650,546450,475,0,0,0,25,0,0,0,300,150,0,GIS United INC.
21,서울특별시,11,1165,서초구,314050,544650,425,0,0,0,25,0,0,0,325,75,0,GIS United INC.
