,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM
0,서울특별시,11,종로구,11110,312137,553263,서울대학교사범대학부설초등학교
1,서울특별시,11,강서구,11500,294585,553030,서울개화초등학교
2,서울특별시,11,강동구,11740,327583,552198,서울강일초등학교
3,서울특별시,11,강서구,11500,298615,552058,서울공진초등학교
4,서울특별시,11,강서구,11500,298140,551986,서울등양초등학교
5,서울특별시,11,강서구,11500,295764,551745,서울공항초등학교
6,서울특별시,11,강서구,11500,299390,551654,서울가양초등학교
7,서울특별시,11,강서구,11500,298364,551645,서울등현초등학교
8,서울특별시,11,강서구,11500,298554,551540,서울등원초등학교
9,서울특별시,11,강서구,11500,297917,551588,서울등명초등학교
10,서울특별시,11,강동구,11740,326564,551270,서울고덕초등학교
11,서울특별시,11,강동구,11740,326010,551075,서울강덕초등학교
12,서울특별시,11,강동구,11740,325386,550991,서울묘곡초등학교
13,서울특별시,11,강동구,11740,324781,550858,서울명덕초등학교
14,서울특별시,11,강동구,11740,323222,550807,서울선사초등학교
15,서울특별시,11,강서구,11500,297342,550982,서울가곡초등학교
16,서울특별시,11,강동구,11740,324383,550541,서울명일초등학교
17,서울특별시,11,강동구,11740,324833,550379,서울고명초등학교
18,서울특별시,11,강동구,11740,326761,550294,서울고일초등학교
19,서울특별시,11,강서구,11500,299014,550548,서울등서초등학교
20,서울특별시,11,강서구,11500,297499,550533,서울내발산초등학교
21,서울특별시,11,강동구,11740,325126,550186,서울명원초등학교
22,서울특별시,11,강동구,11740,322827,550059,서울신암초등학교
23,서울특별시,11,강서구,11500,299298,550089,서울등촌초등학교
24,서울특별시,11,강동구,11740,325377,549770,서울대명초등학교
25,서울특별시,11,강동구,11740,327061,549752,서울상일초등학교
26,서울특별시,11,강동구,11740,323885,549796,서울천호초등학교
27,서울특별시,11,강동구,11740,323354,549641,서울강동초등학교
28,서울특별시,11,강동구,11740,323585,549438,서울천일초등학교
29,서울특별시,11,양천구,11470,296750,549571,서울강신초등학교
30,서울특별시,11,강동구,11740,323981,549058,서울천동초등학교
31,서울특별시,11,강동구,11740,325037,549092,서울신명초등학교
32,서울특별시,11,강동구,11740,324612,548778,서울길동초등학교
33,서울특별시,11,송파구,11710,322240,548430,서울풍납초등학교
34,서울특별시,11,양천구,11470,301777,548406,서울경인초등학교
35,서울특별시,11,송파구,11710,322006,548115,서울토성초등학교
36,서울특별시,11,강남구,11680,314548,548114,서울압구정초등학교
37,서울특별시,11,강동구,11740,322634,548032,서울성내초등학교
38,서울특별시,11,강동구,11740,324697,547791,서울선린초등학교
39,서울특별시,11,강동구,11740,323155,547787,서울성일초등학교
40,서울특별시,11,강동구,11740,324310,547662,서울한산초등학교
41,서울특별시,11,강남구,11680,315788,547732,서울청담초등학교
42,서울특별시,11,송파구,11710,321821,547454,서울풍성초등학교
43,서울특별시,11,강동구,11740,323932,547419,서울둔촌초등학교
44,서울특별시,11,강남구,11680,313944,547208,서울신구초등학교
45,서울특별시,11,양천구,11470,297695,547300,서울강서초등학교
46,서울특별시,11,강동구,11740,324110,546998,서울위례초등학교
47,서울특별시,11,송파구,11710,321650,546820,서울잠실초등학교
48,서울특별시,11,강남구,11680,317170,546898,서울봉은초등학교
49,서울특별시,11,강남구,11680,315821,546834,서울언북초등학교
50,서울특별시,11,송파구,11710,323603,546623,서울세륜초등학교
51,서울특별시,11,송파구,11710,320651,546574,서울잠동초등학교
52,서울특별시,11,서초구,11650,312847,546541,서울신동초등학교
53,서울특별시,11,양천구,11470,297129,546622,서울강월초등학교
54,서울특별시,11,양천구,11470,298869,546542,서울남명초등학교
55,서울특별시,11,송파구,11710,318996,546263,서울잠일초등학교
56,서울특별시,11,송파구,11710,319589,546144,서울잠신초등학교
57,서울특별시,11,송파구,11710,322483,546051,서울방이초등학교
58,서울특별시,11,강남구,11680,315953,546056,서울삼릉초등학교
59,서울특별시,11,송파구,11710,320205,546094,서울신천초등학교
60,서울특별시,11,강남구,11680,315314,545976,서울학동초등학교
61,서울특별시,11,송파구,11710,323670,545902,서울오륜초등학교
62,서울특별시,11,양천구,11470,300308,546096,서울갈산초등학교
63,서울특별시,11,서초구,11650,312129,545781,서울반원초등학교
64,서울특별시,11,양천구,11470,299428,545894,서울계남초등학교
65,서울특별시,11,송파구,11710,322486,545604,서울방산초등학교
66,서울특별시,11,송파구,11710,323441,545561,서울오금초등학교
67,서울특별시,11,송파구,11710,320180,545540,서울송전초등학교
68,서울특별시,11,강남구,11680,314111,545548,서울논현초등학교
69,서울특별시,11,송파구,11710,321614,545344,서울송파초등학교
70,서울특별시,11,송파구,11710,319225,545349,서울잠전초등학교
71,서울특별시,11,서초구,11650,312908,545311,서울원촌초등학교
72,서울특별시,11,송파구,11710,318464,545199,서울아주초등학교
73,서울특별시,11,송파구,11710,324237,545073,서울거여초등학교
74,서울특별시,11,강남구,11680,317419,545006,서울대현초등학교
75,서울특별시,11,송파구,11710,321028,544850,서울석촌초등학교
76,서울특별시,11,서초구,11650,310986,544982,서울반포초등학교
77,서울특별시,11,서초구,11650,313125,544948,서울서원초등학교
78,서울특별시,11,서초구,11650,311606,544828,서울잠원초등학교
79,서울특별시,11,송파구,11710,319956,544743,서울삼전초등학교
80,서울특별시,11,송파구,11710,325113,544668,서울남천초등학교
81,서울특별시,11,강남구,11680,316119,544735,서울도성초등학교
82,서울특별시,11,서초구,11650,313250,544703,서울원명초등학교
83,서울특별시,11,송파구,11710,322393,544560,서울신가초등학교
84,서울특별시,11,송파구,11710,321307,544555,서울가락초등학교
85,서울특별시,11,송파구,11710,321838,544568,서울중대초등학교
86,서울특별시,11,서초구,11650,313897,544551,서울서초초등학교
87,서울특별시,11,강남구,11680,316601,544514,서울도곡초등학교
88,서울특별시,11,송파구,11710,323299,544237,서울가동초등학교
89,서울특별시,11,강남구,11680,318669,544235,서울대진초등학교
90,서울특별시,11,서초구,11650,310826,544241,서울서래초등학교
91,서울특별시,11,송파구,11710,323195,544164,서울가주초등학교
92,서울특별시,11,송파구,11710,324405,544082,서울영풍초등학교
93,서울특별시,11,송파구,11710,325237,544013,서울마천초등학교
94,서울특별시,11,강남구,11680,317529,543987,서울대곡초등학교
95,서울특별시,11,강남구,11680,314658,543840,서울역삼초등학교
96,서울특별시,11,강남구,11680,319539,543798,서울대청초등학교
97,서울특별시,11,강남구,11680,316510,543809,서울대도초등학교
98,서울특별시,11,강남구,11680,318956,543702,서울영희초등학교
99,서울특별시,11,송파구,11710,322586,543609,서울평화초등학교
100,서울특별시,11,서초구,11650,314065,543662,서울서이초등학교
101,서울특별시,11,강남구,11680,317262,543611,서울대치초등학교
102,서울특별시,11,강남구,11680,320755,543555,서울수서초등학교
103,서울특별시,11,서초구,11650,313126,543627,서울교육대학교부설초등학교
104,서울특별시,11,강남구,11680,317915,543512,서울양전초등학교
105,서울특별시,11,강남구,11680,318514,543432,서울일원초등학교
106,서울특별시,11,송파구,11710,323140,543332,서울문정초등학교
107,서울특별시,11,송파구,11710,321610,543359,서울가원초등학교
108,서울특별시,11,송파구,11710,324562,543171,서울거원초등학교
109,서울특별시,11,서초구,11650,310646,543257,서울방배초등학교
110,서울특별시,11,강남구,11680,315047,543161,서울언주초등학교
111,서울특별시,11,강남구,11680,317999,543098,서울개포초등학교
112,서울특별시,11,강남구,11680,319409,543062,서울왕북초등학교
113,서울특별시,11,강남구,11680,316886,543041,서울개일초등학교
114,서울특별시,11,서초구,11650,311609,543061,서울방일초등학교
115,서울특별시,11,서초구,11650,313729,543002,서울서일초등학교
116,서울특별시,11,송파구,11710,323023,542890,서울문덕초등학교
117,서울특별시,11,강남구,11680,316972,542544,서울개원초등학교
118,서울특별시,11,강남구,11680,319374,542496,서울대모초등학교
119,서울특별시,11,강남구,11680,316345,542501,서울구룡초등학교
120,서울특별시,11,서초구,11650,312610,542450,서울신중초등학교
121,서울특별시,11,서초구,11650,310384,542254,서울이수초등학교
122,서울특별시,11,서초구,11650,310876,542030,서울방현초등학교
123,서울특별시,11,강남구,11680,316398,541945,서울포이초등학교
124,서울특별시,11,서초구,11650,314573,541733,서울양재초등학교
125,서울특별시,11,서초구,11650,313912,541524,서울우암초등학교
126,서울특별시,11,강남구,11680,321081,540648,서울대왕초등학교
127,서울특별시,11,서초구,11650,316296,540562,서울언남초등학교
128,서울특별시,11,도봉구,11320,316391,565325,서울누원초등학교
129,서울특별시,11,노원구,11350,316785,565032,서울수락초등학교
130,서울특별시,11,도봉구,11320,315361,564534,서울도봉초등학교
131,서울특별시,11,노원구,11350,316810,563882,서울노일초등학교
132,서울특별시,11,노원구,11350,317121,563807,서울노원초등학교
133,서울특별시,11,도봉구,11320,315546,563663,서울오봉초등학교
134,서울특별시,11,노원구,11350,316532,563533,서울상경초등학교
135,서울특별시,11,노원구,11350,317279,563220,서울상원초등학교
136,서울특별시,11,노원구,11350,318678,563234,서울신상계초등학교
137,서울특별시,11,노원구,11350,317810,563187,서울온곡초등학교
138,서울특별시,11,노원구,11350,319115,563063,서울덕암초등학교
139,서울특별시,11,도봉구,11320,314560,563063,서울신방학초등학교
140,서울특별시,11,노원구,11350,317385,563016,청원초등학교
141,서울특별시,11,노원구,11350,316786,562932,서울동일초등학교
142,서울특별시,11,도봉구,11320,314797,562835,서울방학초등학교
143,서울특별시,11,도봉구,11320,316336,562782,서울창도초등학교
144,서울특별시,11,노원구,11350,317999,562670,서울계상초등학교
145,서울특별시,11,노원구,11350,317476,562636,서울상곡초등학교
146,서울특별시,11,도봉구,11320,314152,562528,서울신학초등학교
147,서울특별시,11,도봉구,11320,315807,562384,서울가인초등학교
148,서울특별시,11,노원구,11350,317782,562272,서울상계초등학교
149,서울특별시,11,노원구,11350,317011,562184,서울상월초등학교
150,서울특별시,11,도봉구,11320,313930,562191,서울초당초등학교
151,서울특별시,11,도봉구,11320,316103,562088,서울자운초등학교
152,서울특별시,11,노원구,11350,318424,562080,서울중계초등학교
153,서울특별시,11,도봉구,11320,315041,561957,서울창경초등학교
154,서울특별시,11,도봉구,11320,314270,561842,동북초등학교
155,서울특별시,11,도봉구,11320,315895,561840,서울창동초등학교
156,서울특별시,11,은평구,11380,307583,561852,서울북한산초등학교
157,서울특별시,11,노원구,11350,318563,561681,서울원광초등학교
158,서울특별시,11,도봉구,11320,313155,561635,서울백운초등학교
159,서울특별시,11,도봉구,11320,314775,561615,한신초등학교
160,서울특별시,11,도봉구,11320,315514,561546,서울창원초등학교
161,서울특별시,11,노원구,11350,317616,561416,서울상수초등학교
162,서울특별시,11,노원구,11350,319045,561362,서울불암초등학교
163,서울특별시,11,도봉구,11320,314400,561369,서울숭미초등학교
164,서울특별시,11,노원구,11350,318370,561320,서울을지초등학교
165,서울특별시,11,도봉구,11320,314104,561150,서울쌍문초등학교
166,서울특별시,11,노원구,11350,317103,561104,서울당현초등학교
167,서울특별시,11,노원구,11350,319147,561053,서울수암초등학교
168,서울특별시,11,노원구,11350,317919,561065,상명초등학교
169,서울특별시,11,도봉구,11320,316526,561026,서울월천초등학교
170,서울특별시,11,도봉구,11320,316156,560975,서울창일초등학교
171,서울특별시,11,노원구,11350,317049,560824,서울상천초등학교
172,서울특별시,11,은평구,11380,305721,560843,서울진관초등학교
173,서울특별시,11,노원구,11350,317795,560656,서울청계초등학교
174,서울특별시,11,은평구,11380,304816,560583,서울은빛초등학교
175,서울특별시,11,도봉구,11320,315610,560595,서울창림초등학교
176,서울특별시,11,노원구,11350,317492,560542,서울중원초등학교
177,서울특별시,11,강북구,11305,312832,560516,서울인수초등학교
178,서울특별시,11,노원구,11350,321697,560319,태강삼육초등학교
179,서울특별시,11,노원구,11350,318071,560324,서울용동초등학교
180,서울특별시,11,강북구,11305,313234,560028,서울우이초등학교
181,서울특별시,11,노원구,11350,317586,559887,서울중평초등학교
182,서울특별시,11,강북구,11305,314879,559859,서울수송초등학교
183,서울특별시,11,도봉구,11320,315646,559753,서울신창초등학교
184,서울특별시,11,노원구,11350,318368,559559,서울연촌초등학교
185,서울특별시,11,은평구,11380,305675,559490,서울신도초등학교
186,서울특별시,11,은평구,11380,304956,559512,서울은진초등학교
187,서울특별시,11,노원구,11350,317219,559429,서울연지초등학교
188,서울특별시,11,도봉구,11320,315588,559331,서울신화초등학교
189,서울특별시,11,노원구,11350,317789,559312,서울중현초등학교
190,서울특별시,11,강북구,11305,312951,559300,서울유현초등학교
191,서울특별시,11,강북구,11305,313722,559141,서울수유초등학교
192,서울특별시,11,노원구,11350,316597,559059,서울신계초등학교
193,서울특별시,11,노원구,11350,317982,559008,서울용원초등학교
194,서울특별시,11,강북구,11305,315493,558981,서울번동초등학교
195,서울특별시,11,노원구,11350,320221,558774,화랑초등학교
196,서울특별시,11,노원구,11350,317530,558871,서울녹천초등학교
197,서울특별시,11,노원구,11350,316413,558786,서울월계초등학교
198,서울특별시,11,노원구,11350,318492,558689,서울공연초등학교
199,서울특별시,11,은평구,11380,305604,558764,서울연신초등학교
200,서울특별시,11,노원구,11350,319949,558557,서울태랑초등학교
201,서울특별시,11,은평구,11380,305231,558509,서울연광초등학교
202,서울특별시,11,강북구,11305,314487,558384,서울화계초등학교
203,서울특별시,11,강북구,11305,313402,558352,서울삼양초등학교
204,서울특별시,11,강북구,11305,316038,558331,서울오현초등학교
205,서울특별시,11,은평구,11380,305936,558240,서울수리초등학교
206,서울특별시,11,노원구,11350,319418,558177,서울태릉초등학교
207,서울특별시,11,성북구,11290,316078,558161,서울장월초등학교
208,서울특별시,11,강북구,11305,313118,558121,서울미양초등학교
209,서울특별시,11,은평구,11380,305661,558153,서울연천초등학교
210,서울특별시,11,노원구,11350,318013,557944,서울한천초등학교
211,서울특별시,11,은평구,11380,304135,558109,선일초등학교
212,서울특별시,11,은평구,11380,304568,557990,서울갈현초등학교
213,서울특별시,11,성북구,11290,312395,557925,서울정릉초등학교
214,서울특별시,11,노원구,11350,318483,557810,서울공릉초등학교
215,서울특별시,11,노원구,11350,317038,557760,서울선곡초등학교
216,서울특별시,11,성북구,11290,316759,557803,광운초등학교
217,서울특별시,11,중랑구,11260,319514,557658,서울원묵초등학교
218,서울특별시,11,은평구,11380,305483,557825,은혜초등학교
219,서울특별시,11,강북구,11305,314704,557614,서울송중초등학교
220,서울특별시,11,성북구,11290,316165,557565,서울장곡초등학교
221,서울특별시,11,강북구,11305,313245,557552,서울삼각산초등학교
222,서울특별시,11,강북구,11305,313999,557473,서울송천초등학교
223,서울특별시,11,중랑구,11260,319817,557356,금성초등학교
224,서울특별시,11,중랑구,11260,320036,557157,서울봉화초등학교
