,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM
0,서울특별시,11,종로구,11110,312284,554215,가톨릭대학교
1,서울특별시,11,서대문구,11410,308509,552197,감리교신학대학교
2,서울특별시,11,광진구,11215,318599,549299,건국대학교
3,서울특별시,11,동대문구,11230,316592,555316,경희대학교
4,서울특별시,11,강서구,11500,298959,550212,그리스도대학교
5,서울특별시,11,성북구,11290,315595,556424,동덕여자대학교
6,서울특별시,11,구로구,11530,300065,544873,동양미래대학
7,서울특별시,11,서대문구,11410,306917,554203,디지털서울문화예술대학교
8,서울특별시,11,노원구,11350,321237,560417,삼육대학교
9,서울특별시,11,종로구,11110,308003,556109,상명대학교
10,서울특별시,11,서초구,11650,313224,543552,서울교육대학교
11,서울특별시,11,관악구,11620,307586,540901,서울대학교
12,서울특별시,11,강북구,11305,314314,559039,서울사이버대학교
13,서울특별시,11,동대문구,11230,316939,553885,서울시립대학교
14,서울특별시,11,노원구,11350,319946,558742,서울여자대학교
15,서울특별시,11,종로구,11110,311335,554418,성균관대학교_인문사회과학캠퍼스
16,서울특별시,11,광진구,11215,318257,550550,세종사이버대학교
17,서울특별시,11,동작구,11590,307997,544315,숭실대학교
18,서울특별시,11,서대문구,11410,307152,551594,이화여자대학교
19,서울특별시,11,종로구,11110,308896,552201,적십자간호대학
20,서울특별시,11,서대문구,11410,307735,551685,추계예술대학교
21,서울특별시,11,노원구,11350,317637,561137,한국성서대학교
22,서울특별시,11,성북구,11290,316864,556285,한국예술종합학교
23,서울특별시,11,송파구,11710,323390,546729,한국체육대학교
24,서울특별시,11,강서구,11500,297984,550443,한국폴리텍I대학서울강서캠퍼스
25,서울특별시,11,용산구,11170,311514,547909,한국폴리텍I대학서울정수캠퍼스
26,서울특별시,11,성동구,11200,315786,550839,한양대학교
27,서울특별시,11,성동구,11200,316252,551115,한양여자대학
28,서울특별시,11,종로구,11110,310719,554323,고려사이버대학교
29,서울특별시,11,서대문구,11410,305249,554112,명지전문대학
30,서울특별시,11,동대문구,11230,317037,555430,사이버한국외국어대학교
31,서울특별시,11,마포구,11440,306584,550447,서강대학교
32,서울특별시,11,은평구,11380,304138,555942,서울기독대학교
33,서울특별시,11,구로구,11530,296371,543456,성공회대학교
34,서울특별시,11,강서구,11500,295390,550134,정석대학
35,서울특별시,11,동작구,11590,307947,545201,중앙대학교
36,서울특별시,11,동작구,11590,308808,543424,총신대학교
37,서울특별시,11,서초구,11650,312243,544641,가톨릭대학교
38,서울특별시,11,동대문구,11230,316592,555316,경희사이버대학교
39,서울특별시,11,성북구,11290,314755,554488,고려대학교
40,서울특별시,11,노원구,11350,317191,557906,광운대학교
41,서울특별시,11,성북구,11290,311573,556990,국민대학교
42,서울특별시,11,도봉구,11320,313452,561488,덕성여자대학교
43,서울특별시,11,중구,11140,311855,551129,동국대학교
44,서울특별시,11,서대문구,11410,305086,553651,명지대학교
45,서울특별시,11,종로구,11110,308979,553448,배화여자대학
46,서울특별시,11,동대문구,11230,317677,554483,삼육보건대학
47,서울특별시,11,성북구,11290,313013,557410,서경대학교
48,서울특별시,11,노원구,11350,318854,559425,서울과학기술대학교
49,서울특별시,11,마포구,11440,307218,549490,서울디지털대학교
50,서울특별시,11,서대문구,11410,307243,555546,서울여자간호대학
51,서울특별시,11,중랑구,11260,320528,554180,서일대학
52,서울특별시,11,성북구,11290,313759,554898,성신여자대학교
53,서울특별시,11,용산구,11170,308729,549812,숙명여자대학교
54,서울특별시,11,중구,11140,310725,551021,숭의여자대학
55,서울특별시,11,종로구,11110,310597,553100,열린사이버대학교
56,서울특별시,11,종로구,11110,310869,552941,한국사이버대학교
57,서울특별시,11,성북구,11290,312788,553740,한성대학교
58,서울특별시,11,성동구,11200,315595,551124,한양사이버대학교
59,서울특별시,11,구로구,11530,298610,544440,한영신학대학교
60,서울특별시,11,광진구,11215,318399,550238,세종대학교
61,서울특별시,11,서대문구,11410,306578,551935,연세대학교
62,서울특별시,11,노원구,11350,316788,559161,인덕대학
63,서울특별시,11,광진구,11215,320973,550152,장로회신학대학교
64,서울특별시,11,종로구,11110,312176,553436,한국방송통신대학교
65,서울특별시,11,마포구,11440,305273,550374,홍익대학교
66,서울특별시,11,동대문구,11230,317037,555430,한국외국어대학교
