,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O
0,서울특별시,11,강북구,11305,313550,560950,57,953.0,5462000000.0,1,37,19,0,0,0,6,29,22,0,0,0,0,0,0
1,서울특별시,11,강북구,11305,312850,559850,105,1774.0,9297000000.0,5,68,32,0,0,0,11,54,40,0,0,0,0,0,0
2,서울특별시,11,강북구,11305,312850,560450,98,760.0,3144000000.0,97,1,0,0,0,0,97,1,0,0,0,0,0,0,0
3,서울특별시,11,강남구,11680,315150,545950,39,799.0,8208000000.0,0,30,6,0,0,3,0,2,22,12,0,0,3,0,0
4,서울특별시,11,강남구,11680,314550,546550,67,1521.0,15704000000.0,0,38,7,18,4,0,0,0,38,7,13,8,1,0,0
5,서울특별시,11,강북구,11305,314850,558250,193,2740.0,11379000000.0,0,191,2,0,0,0,43,149,1,0,0,0,0,0,0
6,서울특별시,11,강북구,11305,314150,557550,49,596.0,4117000000.0,17,28,3,1,0,0,6,31,12,0,0,0,0,0,0
7,서울특별시,11,강남구,11680,316050,547850,19,1361.0,35376000000.0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
8,서울특별시,11,강남구,11680,316450,547250,15,293.0,3157000000.0,0,9,4,1,1,0,0,0,8,5,1,1,0,0,0
9,서울특별시,11,강동구,11740,322850,547450,8,150.0,1178000000.0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0
10,서울특별시,11,강동구,11740,323550,547550,36,489.0,3387000000.0,0,35,1,0,0,0,0,24,12,0,0,0,0,0,0
11,서울특별시,11,강동구,11740,323350,547750,49,730.0,5343000000.0,4,40,4,1,0,0,2,19,27,1,0,0,0,0,0
12,서울특별시,11,강동구,11740,323550,550550,69,1264.0,8378000000.0,2,40,26,1,0,0,1,17,50,1,0,0,0,0,0
13,서울특별시,11,강동구,11740,323850,550050,89,1551.0,13194000000.0,2,61,26,0,0,0,0,5,73,11,0,0,0,0,0
