,고유번호,구명,법정동명,산지여부,주지번,부지번,새주소명,시설명,운영기관,설립주체,시설구분,개관일,면적,홈페이지주소,연락처,생성일,lat,lon
0,21,구로구,구로3동,1,777,1,구로구 디지털로 27다길 65 2층,꿈마을 도서관,구로구 시설관리공단, ,구립도서관,2007-04-05,476.0,lib.guro.go.kr/dreamtown/,830-5807, ,313464.2676366074,4151014.2629273916
1,22,용산구,후암동,1,30,84,용산구 후암동 30-84,남산 도서관, , ,교육청도서관,1922-10-05,0.0,lib.sen.go.kr/lib_index.jsp, , ,321689.4352780258,4158098.975669358
2,23,중구,신당동,1,844, ,중구 다산로 32,남산타운 문화체육센터 어린이도서관,시설관리공단, ,구립도서관,2010-04-01,273.8,www.e-junggulib.or.kr,02-2280-8520, ,324147.4921159727,4157641.9785744715
3,24,노원구,상계10동,1,686, ,노원구 온곡길 21,노원 정보도서관,노원 교육복지재단, ,구립도서관,2006-02-15,6526.0,www.nowonlib.kr,02-950-0029, ,329252.00312733755,4169958.041042899
4,25,노원구,중계3동,1,508, ,노원구 중계3동 508,노원 평생학습관, , ,교육청도서관,1990-05-08,0.0,lib.sen.go.kr/lib_index.jsp, , ,329464.0619212341,4167643.8595206887
5,26,영등포구,여의도동,1,1, ,영등포구 여의도동 1,국회 도서관, , ,국립도서관,1988-02-20,28099.0,www.nanet.go.kr/, , ,315811.8125956,4155824.2800257877
6,27,강남구,논현동,1,114,24,강남구 학동로북32길 17 6층,논현 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,1997-09-10,450.0,library.gangnam.go.kr,02-3443-7650, ,326543.8971692262,4154070.024460292
7,28,강남구,논현동,1,58,13,강남구 학동로 169-1,논현 정보도서관,(사)작은도서관 만드는 사람들, ,구립도서관,2003-07-09,707.0,library.gangnam.go.kr,02-515-1178, ,325834.9574236695,4153705.9110386344
8,29,영등포구,대림3동,1,608,2,영등포구 도신로 27,대림 정보문화 도서관,영등포구 도시시설관리공단, ,구립도서관,2008-01-22,1945.86,www.dllib.or.kr,02-2670-4165, ,314037.0730686735,4152898.308385958
9,30,도봉구,도봉1동,1,577, ,도봉구 도봉1동 577 (도봉산길 175),도봉1동 어린이도서관,(사)한국어린이 도서관 협회, ,구립도서관,2011-03-18,276.0,개설중,02-3492-0078, ,327425.6307423557,4172446.955511779
10,31,도봉구,창동,1,418, ,도봉구 덕릉로 315,도봉 문화정보센터,도봉문화원, ,구립도서관,2001-10-09,3111.0,http:dobonglib.seoul.kr,02-900-1835, ,327433.7506424683,4168185.8987340922
11,32,도봉구,창동,1,808,1,도봉구 자운길 51,도봉 어린이문화정보센터,도봉문화원, ,구립도서관,2008-04-17,1446.0,http:www.kidlib.dobong.kr,02-995-4171, ,327955.24901836563,4169777.6883806596
12,33,동대문구,청량리동,1,206,19,동대문구 회기로10길 60,동대문구 정보화도서관,동대문구 시설관리공단, ,구립도서관,2006-06-29,3094.0,www.l4d.or.kr, , ,327578.6312728268,4162087.243858751
13,34,동대문구,신설동,1,109,4,동대문구 신설동 109-4,동대문 도서관, , ,교육청도서관,1971-03-31,0.0,lib.sen.go.kr/lib_index.jsp, , ,325542.48082179565,4160324.329467862
14,35,동작구,노량진2동,1,310,150,동작구 노량진2동 310-150,동작 도서관, , ,교육청도서관,1991-05-06,0.0,lib.sen.go.kr/lib_index.jsp, , ,317937.0905274708,4152993.460962865
15,36,동작구,상도1동,1,514, ,동작구 매봉로 37,동작 상도국주도서관,동작구 도시시설관리공단, ,구립도서관,2009-10-29,525.0,lib.dongjak.go.kr/,02-813-6750, ,318896.5195392845,4153071.2761040935
16,37,동작구,노량진2동,1,225,161,동작구 장승배기로 16길 98,동작 어린이도서관,(사)뉴서울 자원봉사 은행, ,구립도서관,2008-02-12,444.0,lib.dongjak.go.kr, , ,318238.71578257217,4153353.87536863
17,38,마포구,서교동,1,341,1,마포구 서교동341-1,마포 평생학습관, , ,교육청도서관,1995-06-22,0.0,lib.sen.go.kr/lib_index.jsp, , ,316647.67006643524,4158387.6313823066
18,39,마포구,아현동,1,602,1,마포구 아현동 602-1,마포 평생학습 아현 분관, , ,교육청도서관,1980-08-20,0.0,lib.sen.go.kr/lib_index.jsp, , ,319561.1563692794,4158280.095775391
19,40,강동구,명일동,1,341,2,강동구 명일동 341-23,명성교회 도서관,명성교회, ,사립도서관,2005-10-19,321.0,www.mslib.or.kr/, , ,336245.1917922334,4157160.3622397287
20,41,양천구,목동,1,909,3,양천구 목동동로 407-2,목마 작은도서관,양천구 (목5동 주민센터), ,구립도서관,2009-07-20,461.0,lib.yangcheon.go.kr/,2652-8910, ,313098.8940696862,4156665.4765155944
21,42,은평구,진관동,1,15,19,은평구 진관동 은평뉴타운 상림마을 15-19,상림마을 작은도서관,사회복지법인 인덕원, ,구립도서관,2009-09-23,311.0,www.eplib.or.kr/action/small_lib/intro.php,383-7557~8, ,317274.54674375476,4168355.4352811305
22,43,성북구,정릉동,1,227,176,성북구 서경로 94-1,서경로 꿈마루 도서관,느티나무 도서관재단, ,구립도서관,2011-07-29,125.98,dreammaru.sblib.seoul.go.kr,02)6925-0300, ,324698.7741499992,4164562.3320591697
23,44,서대문구,현저동,1,101, ,서대문구 현저동 성산로 695-80,서대문구립 이진아 기념도서관,서대문구 도시관리공단, ,구립도서관,2005-09-15,2756.0,www.sdmljalib.or.kr,02)360-8615, ,319516.2057871218,4160538.8444412434
24,45,서대문구,남가좌동,1,342,34,서대문구 증가로10길 16-15,서대문 남가좌 새롬 어린이도서관,서대문구 도시관리공단, ,구립도서관,2010-05-07,674.0,www.sdmljalib.or.kr,02)360-8674, ,316688.3415300365,4161059.054643768
25,46,서대문구,연희3동,1,1,116,서대문구 연희3동 1-116,서대문 도서관, , ,교육청도서관,1986-12-18,0.0,lib.sen.go.kr/lib_index.jsp, , ,318192.30750042934,4161579.781601088
26,47,성동구,행당동,1,142,4,성동구 행당동 142-4,성동구립 도서관,성동구 도시관리공단, ,구립도서관,1999-04-23,5692.0,www.sdlib.or.kr,02)2204-6421, ,326437.2088296632,4158726.161702594
27,48,성동구,용답동,1,95,1,성동구 용답동 95-1,성동구립 용답 도서관,성동구 도시관리공단, ,구립도서관,2007-01-24,1483.0,https://www.sdlib.or.kr/YD,02)2204-6471, ,327908.1591794003,4159536.247927307
28,49,성북구,상월곡동,1,24,348,상월곡동 화랑로 18자길 13,성북 정보도서관,성동구 도시관리공단, ,구립도서관,2002-03-19,6667.0,www.sblib.go.kr,070-8644-8043, ,327940.29645628517,4163777.953844973
29,50,관악구,봉천동,1,1703,1,관악구 관악로37길 56,성현동 작은도서관,관악문화원, ,구립도서관,2006-02-28,329.0,www.gwanakcullib.seoul.kr,02-877-7182, ,319308.6512406059,4150961.1689745383
30,51,송파구,잠실3동,1,44,4,송파구 석촌호수길 155,소나무언덕 2호 작은도서관,한국 지역사회교육 협의회, ,구립도서관,2009-02-26,330.0,www.spclib.or.kr,02-424-0780, ,331558.0857758934,4152852.893715777
31,52,송파구,마천동,1,325,5,송파구 성내천로319,소나무언덕 3호 작은도서관,청소년 교통문화재단, ,구립도서관,2009-12-21,343.0,www.splib.or.kr,443-0130, ,337042.9459141216,4151087.7603610544
32,53,송파구,잠실동,1,306, ,송파구 탄천동로 211,소나무언덕 잠실본동 작은도서관,한국 지역사회교육협의회, ,구립도서관,2011-11-16,510.0,www.splib.or.kr,02-412-0750, ,330191.3581631806,4152419.945428353
33,54,강북구,삼양동,1,1354,4,강북구 솔샘길 160,솔샘 문화정보센터,강북구 도시관리공단, ,구립도서관,2005-10-04,944.91,www.gangbuklib.seoul.kr,944-3150 (944-3152), ,324594.14979623596,4165563.719666637
34,55,강북구,송중동,1,138,11,강북구 오솔1길 13,송중 문화정보센터,강북구 도시관리공단, ,구립도서관,2010-03-02,511.25,www.gangbuklib.seoul.kr,944-3160 (944-3161), ,326137.5605949051,4165294.027215028
35,57,송파구,오금동,1,51, ,송파구 오금동 51,송파 도서관, , ,교육청도서관,1994-12-14,0.0,lib.sen.go.kr/lib_index.jsp, , ,334902.0921643416,4152204.0695405984
