,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
0,강남구,2301, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,10,325192.968147641,4154850.3394667264
1,강남구,2302, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,10,325369.6580377335,4152794.0657462603
2,강남구,2303, 논현역 7번출구,서울특별시 강남구 학동로 지하 102,15,325136.00008623826,4153457.9268618315
3,강남구,2304, 신영 ROYAL PALACE 앞,서울특별시 강남구 언주로 626,10,326407.44611614436,4153543.39697179
4,강남구,2305, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,10,326308.9703301086,4154446.176461099
5,강남구,2306, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,30,325812.2418318086,4155176.022592176
6,강남구,2307, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,10,326685.4492077894,4155323.3854139447
7,강남구,2308, 압구정파출소 앞,서울특별시 강남구 압구정로 311,14,326425.4672126225,4155405.076103337
8,강남구,2309, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,10,327619.78500337,4154225.8402417735
9,강남구,2310, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,10,326816.7768972992,4154765.494477406
10,강남구,2311, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,10,327054.80867331673,4154112.2503059595
11,강남구,2312, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,10,328237.2631892398,4154399.325256641
12,강남구,2313, 금원빌딩 앞,서울특별시 강남구 도산대로 539,10,327906.4557256731,4154909.6986811394
13,강남구,2314, 청담나들목입구,서울특별시 강남구 영동대로128길 59,10,328654.85334695736,4154467.8543010233
14,강남구,2315, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,10,328646.2020469281,4153687.98857461
15,강남구,2316, 삼성역 8번출구,서울특별시 강남구 영동대로 502,10,328837.84268883313,4153165.307008187
16,강남구,2317, 삼성도로공원,서울특별시 강남구 영동대로112길 66,10,329099.0351556705,4153860.7161126807
17,강남구,2318, 삼성중앙역4번출구(문화센터더 리빌),서울특별시 강남구 봉은사로 531,15,328106.5652684832,4153624.6450044536
18,강남구,2319, 포스코4거리 서측(수협 삼성동 지점),서울특별시 강남구 테헤란로 435,10,328059.5464343582,4152851.89878109
19,강남구,2320, 도곡역 대치지구대 방향,서울특별시 강남구 남부순환로 지하 2814,10,328228.2462888802,4151218.945380009
20,강남구,2321, 학여울역 사거리,서울특별시 강남구 남부순환로 지하 3104,10,329340.6439847525,4151661.0531439646
21,강남구,2322, 삼성역 3번 출구,서울특별시 강남구 테헤란로 534,15,328807.49249082693,4153001.198427902
22,강남구,2323, 주식회사 오뚜기 정문 앞,서울특별시 강남구 영동대로 308,10,329156.85972791025,4152341.518288742
23,강남구,2324, 천주교 대치 2동 교회 옆,서울특별시 강남구 도곡로 540,10,329065.82751780533,4152146.4642657344
24,강남구,2325, 대치동 버거킹대치점,서울특별시 강남구 도곡로 447,10,328451.4002472727,4151960.525481528
25,강남구,2326, 대치동 삼성로,서울특별시 강남구 삼성로 350,10,328414.09437364433,4152377.125504613
26,강남구,2327, 뱅뱅사거리 랜드마크타워 앞,서울특별시 강남구 강남대로 308,15,325970.07489172276,4151113.022104673
27,강남구,2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,서울특별시 강남구 언주로 506,10,326988.3762084289,4152538.765342193
28,강남구,2329, 르네상스호텔사거리 역삼지하보도 2번출구,서울특별시 강남구 테헤란로 지하 156,10,327034.07088715344,4152401.38637024
29,강남구,2330, 스타벅스 앞,서울특별시 강남구 도곡로 183,10,326680.7611040884,4151281.126014256
30,강남구,2331, 동영문화센터앞,서울특별시 강남구 언주로 337,20,327148.87385929236,4151921.001108603
31,강남구,2333, 양재역 3번출구 주변,서울특별시 강남구 강남대로 240,15,326188.24607226247,4150509.684201272
32,강남구,2334, 8.삼호@ 2동 ( 간선도로),서울특별시 강남구 선릉로 지하 228,15,327253.6455486345,4151442.3809736045
33,강남구,2335, 3호선 매봉역 3번출구앞,서울특별시 강남구 남부순환로 2748,10,327313.8406920923,4150664.969216037
34,강남구,2336, 강남세브란스교차로  래미안그레이튼 104동 앞,서울특별시 강남구 선릉로 지하 228,10,327393.0184274223,4151492.438156374
35,강남구,2337, 대모산입구역 2번출구 앞,서울특별시 강남구 영동대로 101,15,329555.3956398217,4151208.1872494277
36,강남구,2339, 현대아파트 정문 앞,서울특별시 강남구 언주로 107,10,327795.45468059904,4150265.797984934
37,강남구,2340, 삼호물산버스정류장(23370) 옆,서울특별시 강남구 논현로 82,15,327152.1838546202,4149640.622316225
38,강남구,2341, 일원역 4~5번 출구 사이,서울특별시 강남구 일원로 127,10,330681.60438092507,4150212.1222989527
39,강남구,2342, 대청역 1번출구  뒤,서울특별시 강남구 개포로 623,10,330226.21939380607,4151408.70940974
40,강남구,2343, 세곡사거리 대왕파출소 앞,서울특별시 강남구 헌릉로 623,10,332656.53235519596,4148174.7868830357
41,강남구,2344, 리엔파크 2단지 앞,서울특별시 강남구 헌릉로590길 10,10,332078.334104274,4148158.010051199
42,강남구,2347, 두산건설 본사,서울특별시 강남구 언주로 726,15,326383.16382768727,4154222.387165182
43,강남구,2348, 포스코사거리(기업은행),서울특별시 강남구 테헤란로 501,10,328253.1532463194,4152917.38750241
44,강남구,2350, 래미안그레이튼102동앞,서울특별시 강남구 선릉로69길 19,10,327433.5354567346,4151556.758677899
45,강남구,2351, 청소년수련관(수영장)앞,서울특별시 강남구 광평로 144,15,331044.44422379526,4150267.7978296382
46,강남구,2352, 서울본부세관(건설회관 앞),서울특별시 강남구 언주로 721,10,326347.76541964134,4154106.6788934334
47,강남구,2353, 강남구청역 2번출구 뒤,서울특별시 강남구 학동로 342,10,326827.3857545941,4154010.196168492
48,강남구,2354, 청담역 2번출구,서울특별시 강남구 영동대로 647,5,328273.88981978083,4154310.539726775
49,강남구,2355, 삼성역 5~6번 출구 사이,서울특별시 강남구 봉은사로 524,20,328739.6621770287,4153116.932040349
50,강남구,2356, 강남구청,서울특별시 강남구 학동로 지하 346,10,327417.59622883995,4154137.6781606534
51,강남구,2357, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),서울특별시 강남구 언주로89길 7,15,326996.0007140448,4152356.887215224
52,강남구,2358, 구룡초사거리 (현대아파트10동 앞 ),서울특별시 강남구 개포로 303,10,327934.2170401149,4150054.5683427094
53,강남구,2359,국립국악중고교 정문 맞은편,서울특별시 강남구 논현로10길 29,10,327607.9096435814,4149419.8139733174
54,강남구,2360, 도곡1동 주민센터 교차로,서울특별시 강남구 도곡로 205,15,326852.80663577135,4151345.257810953
55,강남구,2361, 압구정역 교차로,서울특별시 강남구 신사동 580-7,10,325771.1207040765,4155146.0243200897
56,강남구,2362, 신사동 가로수길 입구,서울특별시 강남구 신사동 501-5,10,325236.5429555265,4154134.966792584
57,강남구,2364, 도산대로 렉서스 앞,서울특별시 강남구 도산대로 229 ,10,326079.69140252646,4154517.4660404045
58,강남구,2365, K+ 타워 앞,서울특별시 강남구 도산대로 333 ,15,326665.7253268651,4154733.898513291
59,강남구,2368, 도곡동 경남아파트 건너편,서울특별시 강남구 도곡동 874-1,10,326836.7537049371,4150960.728930058
60,강남구,2369, KT선릉타워,서울특별시 강남구 대치동 1011,20,327897.0193417671,4152724.3841406223
61,강남구,2370, 한티역 3번출구,서울특별시 강남구 대치동 1026,20,328002.7048966697,4151736.9005583213
62,강남구,2371, 한국우편사업진흥원,서울특별시 강남구 언주로 651,10,326350.54561453825,4153791.134955023
63,강남구,2372, 대치역 사거리,서울특별시 강남구 삼성로 156 ,10,328837.7991640891,4151491.7778393645
64,강남구,2373, 개포동역 사거리,서울특별시 강남구 개포동 181-3,20,328983.0803058424,4150909.1166888615
65,강남구,2375, 수서역 1번출구 앞,서울특별시 강남구 수서동 728,10,332110.7135107047,4150631.50976202
66,강남구,2377, 수서역 5번출구 뒤,서울특별시 강남구 수서동 724-4,10,332264.73455076443,4150571.236543003
67,강남구,2382, 역삼동 sk뷰 501동앞,서울특별시 강남구 역삼로 315-1,11,327675.1197072043,4152275.5159758907
68,강남구,2383, 보금자리정원,서울특별시 강남구 헌릉로569길 39-6,10,331523.1851965381,4148309.865151966
69,강남구,2385, 학동역,서울특별시 강남구 학동로 지하 180,10,325908.3506436293,4153711.8000224484
70,강남구,2387, 래미안강남힐즈 사거리,서울특별시 강남구 자곡로 101,10,331642.17761228443,4148987.4658246003
71,강동구,1001, 광진교 남단 사거리(디지털프라자앞),서울특별시 강동구 구천면로 171,15,334328.4503160991,4156631.6954249693
72,강동구,1002, 해공공원(천호동),서울특별시 강동구 올림픽로 702,10,334441.850376135,4157008.3979906715
73,강동구,1003, 해공도서관앞,서울특별시 강동구 올림픽로 702,20,334398.5007947098,4156864.51450721
